Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743265993724,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.375,35.76688766479492,35.89448547363281,35.673545837402344,38.34835433959961,38.04256820678711,0,NaN,0,0,0,0,0,0,0,0,0,3.728178024291992,19327352832,1073741824,11107631104,124583936
204,1743265993725,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.375,35.76688766479492,35.89448547363281,35.673545837402344,38.34835433959961,38.04256820678711,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.728178024291992,19327352832,1073741824,11107631104,124583936
199,1743265993930,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.859375,36.05927658081055,36.114646911621094,35.92557907104492,38.63105773925781,38.13810729980469,25,20,28.571430206298828,20,10,10,5,28.571430206298828,25,38.095237731933594,23.809524536132813,3.728178024291992,19327352832,1073741824,11107631104,124583936
204,1743265994130,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.859375,36.05927658081055,36.114646911621094,35.92557907104492,38.63105773925781,38.13810729980469,42.85714340209961,40,31.57894515991211,33.333335876464844,33.333335876464844,33.333335876464844,30.000001907348633,31.57894515991211,31.57894515991211,100,31.57894515991211,3.728178024291992,19327352832,1073741824,11107631104,124583936
201,1743265994335,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.859375,36.05927658081055,36.114646911621094,35.92557907104492,38.63105773925781,38.13810729980469,15.000000953674316,14.285715103149414,14.285715103149414,15.000000953674316,14.285715103149414,10,14.285715103149414,14.285715103149414,90.47618865966797,20,13.636363983154297,4.010036468505859,19327352832,1073741824,11107631104,124583936
204,1743265994537,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.859375,36.05927658081055,36.114646911621094,35.92557907104492,38.63105773925781,38.13810729980469,5,5,0,0,0,0,0,0,100,0,0,4.010036468505859,19327352832,1073741824,11122196480,124583936
202,1743265994742,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.671875,40.028316497802734,44.89796447753906,38.65349197387695,52.86037063598633,41.43532180786133,10,15.789472579956055,0,5,0,0,0,0,100,0,0,4.010036468505859,19327352832,1073741824,11047485440,124583936
201,1743265994945,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.671875,40.028316497802734,44.89796447753906,38.65349197387695,52.86037063598633,41.43532180786133,50,47.619049072265625,45,45.45454788208008,45,42.85714340209961,45.45454788208008,42.105262756347656,100,45,40,4.010036468505859,19327352832,1073741824,11047485440,124583936
199,1743265995148,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.671875,40.028316497802734,44.89796447753906,38.65349197387695,52.86037063598633,41.43532180786133,10,10,0,0,15.789472579956055,0,0,23.809524536132813,76.19047546386719,0,0,4.010036468505859,19327352832,1073741824,11047485440,124583936
204,1743265995348,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.671875,40.028316497802734,44.89796447753906,38.65349197387695,52.86037063598633,41.43532180786133,10,10,0,0,9.090909004211426,0,0,100,0,0,0,4.557261943817139,19327352832,1073741824,11047485440,124583936
201,1743265995553,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.671875,40.028316497802734,44.89796447753906,38.65349197387695,52.86037063598633,41.43532180786133,5,9.523809432983398,0,9.090909004211426,0,0,0,15.000000953674316,0,0,0,4.557261943817139,19327352832,1073741824,11051450368,124583936
203,1743265995756,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.671875,42.583614349365234,42.81361389160156,39.67985153198242,48.60684585571289,41.3883056640625,10,5.263157844543457,0,0,5,0,0,0,0,0,0,4.557261943817139,19327352832,1073741824,11051220992,124583936
200,1743265995960,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.671875,42.583614349365234,42.81361389160156,39.67985153198242,48.60684585571289,41.3883056640625,14.285715103149414,10,0,9.090909004211426,0,4.761904716491699,0,0,0,0,0,4.557261943817139,19327352832,1073741824,11050926080,124583936
