Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742922022999,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.953125,41.206321716308594,41.374786376953125,41.36920166015625,43.967002868652344,43.96974182128906,50,66.66667175292969,0,0,0,0,NaN,0,0,0,0,5.140022277832031,19327352832,1073741824,10201841664,274726912
209,1742922022999,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.953125,41.206321716308594,41.374786376953125,41.36920166015625,43.967002868652344,43.96974182128906,100,NaN,0,100,NaN,0,0,0,0,0,0,5.140022277832031,19327352832,1073741824,10204987392,274726912
204,1742922023210,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.953125,41.206321716308594,41.374786376953125,41.36920166015625,43.967002868652344,43.96974182128906,40,60.000003814697266,28.571430206298828,47.619049072265625,33.333335876464844,35,28.571430206298828,25,45,23.809524536132813,23.809524536132813,5.140022277832031,19327352832,1073741824,10210164736,274726912
207,1742922023414,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.953125,41.206321716308594,41.374786376953125,41.36920166015625,43.967002868652344,43.96974182128906,75,70,45,60.000003814697266,65,55,52.38095474243164,42.85714340209961,100,45,42.85714340209961,5.135517120361328,19327352832,1073741824,10209918976,274726912
205,1742922023622,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.953125,41.206321716308594,41.374786376953125,41.36920166015625,43.967002868652344,43.96974182128906,35,35,4.761904716491699,25,38.095237731933594,33.333335876464844,20,0,95.23809814453125,0,0,5.135517120361328,19327352832,1073741824,10209771520,274726912
205,1742922023828,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.453125,44.952064514160156,49.81000900268555,43.669349670410156,57.636962890625,46.42183303833008,35,57.142860412597656,0,33.333335876464844,20,28.571430206298828,30.000001907348633,0,100,0,0,5.135517120361328,19327352832,1073741824,10209804288,274726912
208,1742922024034,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.453125,44.952064514160156,49.81000900268555,43.669349670410156,57.636962890625,46.42183303833008,52.38095474243164,45,15.000000953674316,45,30.000001907348633,50,52.38095474243164,15.000000953674316,100,19.047618865966797,15.000000953674316,5.135517120361328,19327352832,1073741824,10212671488,274726912
205,1742922024243,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.453125,44.952064514160156,49.81000900268555,43.669349670410156,57.636962890625,46.42183303833008,84.21052551269531,80,27.272727966308594,85,80,75,70,28.571430206298828,23.809524536132813,100,23.809524536132813,5.135517120361328,19327352832,1073741824,10230104064,274726912
205,1742922024449,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.453125,44.952064514160156,49.81000900268555,43.669349670410156,57.636962890625,46.42183303833008,66.66667175292969,71.42857360839844,55,52.38095474243164,47.619049072265625,35,38.095237731933594,0,0,47.619049072265625,0,7.088817596435547,19327352832,1073741824,10213703680,274726912
201,1742922024655,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.453125,44.952064514160156,49.81000900268555,43.669349670410156,57.636962890625,46.42183303833008,52.6315803527832,60.000003814697266,76.19047546386719,52.6315803527832,38.095237731933594,27.272727966308594,30.000001907348633,0,4.545454502105713,0,0,7.088817596435547,19327352832,1073741824,10221010944,274726912
