Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743262640599,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.140625,35.78010177612305,35.890811920166016,35.705204010009766,38.323814392089844,38.06247329711914,NaN,0,0,0,0,0,0,0,0,0,0,3.6864144802093506,19327352832,1073741824,11203280896,124583936
204,1743262640599,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.140625,35.78010177612305,35.890811920166016,35.705204010009766,38.323814392089844,38.06247329711914,50,NaN,0,100,0,0,0,0,0,0,0,3.6864144802093506,19327352832,1073741824,11206066176,124583936
204,1743262640804,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.109375,36.12535095214844,36.248382568359375,35.99077224731445,38.78624725341797,38.21781921386719,21.052631378173828,22.72727394104004,30.000001907348633,15.000000953674316,10,5.263157844543457,9.523809432983398,28.571430206298828,25,30.000001907348633,25,3.6864144802093506,19327352832,1073741824,11216207872,124583936
200,1743262641009,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.109375,36.12535095214844,36.248382568359375,35.99077224731445,38.78624725341797,38.21781921386719,33.333335876464844,26.3157901763916,100,25,25,27.272727966308594,25,28.571430206298828,28.571430206298828,25,28.571430206298828,3.6864144802093506,19327352832,1073741824,11216257024,124583936
199,1743262641210,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.109375,36.12535095214844,36.248382568359375,35.99077224731445,38.78624725341797,38.21781921386719,21.052631378173828,23.809524536132813,19.047618865966797,23.809524536132813,20,15.789472579956055,20,25,95,19.047618865966797,20,3.6519601345062256,19327352832,1073741824,11216453632,124583936
203,1743262641411,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.109375,36.12535095214844,36.248382568359375,35.99077224731445,38.78624725341797,38.21781921386719,9.523809432983398,0,0,0,0,4.761904716491699,0,0,100,0,0,3.6519601345062256,19327352832,1073741824,11216453632,124583936
204,1743262641615,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.109375,36.12535095214844,36.248382568359375,35.99077224731445,38.78624725341797,38.21781921386719,5.555555820465088,9.523809432983398,0,4.761904716491699,0,0,0,0,100,0,0,3.6519601345062256,19327352832,1073741824,11216453632,124583936
204,1743262641820,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.90625,41.37619400024414,46.73233413696289,40.630889892578125,55.804935455322266,42.05598068237305,45,42.105262756347656,42.85714340209961,45,45,40,45,42.85714340209961,100,40,42.85714340209961,3.6519601345062256,19327352832,1073741824,11216453632,124583936
201,1743262642025,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.90625,41.37619400024414,46.73233413696289,40.630889892578125,55.804935455322266,42.05598068237305,9.523809432983398,9.523809432983398,0,19.047618865966797,4.545454502105713,0,0,0,0,0,100,3.6519601345062256,19327352832,1073741824,11111120896,124583936
202,1743262642227,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.90625,41.37619400024414,46.73233413696289,40.630889892578125,55.804935455322266,42.05598068237305,9.523809432983398,5,0,0,0,0,0,40,0,0,60.000003814697266,5.773380756378174,19327352832,1073741824,11110727680,124583936
202,1743262642429,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.90625,41.37619400024414,46.73233413696289,40.630889892578125,55.804935455322266,42.05598068237305,5.263157844543457,5,0,0,0,0,0,9.523809432983398,75,4.761904716491699,0,5.773380756378174,19327352832,1073741824,11110563840,124583936
