Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743255525581,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.140625,35.83243179321289,36.013710021972656,35.706851959228516,38.35878372192383,38.10680389404297,66.66667175292969,0,0,0,0,0,0,0,0,0,0,3.926887035369873,19327352832,1073741824,11168284672,132972544
200,1743255525581,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.140625,35.83243179321289,36.013710021972656,35.706851959228516,38.35878372192383,38.10680389404297,NaN,NaN,NaN,NaN,0,0,NaN,0,0,NaN,NaN,3.926887035369873,19327352832,1073741824,11170332672,132972544
207,1743255525783,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.34375,36.41933059692383,36.4533805847168,36.258209228515625,39.05095291137695,38.37773513793945,16.666667938232422,25,28.571430206298828,19.047618865966797,15.000000953674316,10,9.523809432983398,30.000001907348633,30.000001907348633,42.85714340209961,20,3.926887035369873,19327352832,1073741824,11181981696,132972544
209,1743255525991,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.34375,36.41933059692383,36.4533805847168,36.258209228515625,39.05095291137695,38.37773513793945,9.090909004211426,0,20,0,0,0,0,23.809524536132813,28.571430206298828,100,35,3.926887035369873,19327352832,1073741824,11182194688,132972544
209,1743255526201,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.34375,36.41933059692383,36.4533805847168,36.258209228515625,39.05095291137695,38.37773513793945,4.761904716491699,9.090909004211426,0,0,0,0,0,5,4.761904716491699,100,4.761904716491699,3.926887035369873,19327352832,1073741824,11182292992,132972544
204,1743255526411,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.34375,36.41933059692383,36.4533805847168,36.258209228515625,39.05095291137695,38.37773513793945,9.523809432983398,0,0,0,0,0,4.545454502105713,0,0,100,0,4.1499176025390625,19327352832,1073741824,11182129152,132972544
209,1743255526616,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.34375,36.41933059692383,36.4533805847168,36.258209228515625,39.05095291137695,38.37773513793945,0,10,0,9.090909004211426,0,0,0,0,0,100,0,4.1499176025390625,19327352832,1073741824,11060510720,132972544
209,1743255526826,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.046875,38.544925689697266,38.704044342041016,38.22170639038086,41.90910720825195,40.2562370300293,9.523809432983398,13.636363983154297,42.85714340209961,5,18.18181800842285,0,0,42.85714340209961,42.85714340209961,100,0,4.1499176025390625,19327352832,1073741824,11062575104,132972544
208,1743255527036,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.046875,38.544925689697266,38.704044342041016,38.22170639038086,41.90910720825195,40.2562370300293,9.523809432983398,0,0,4.545454502105713,4.761904716491699,0,0,0,0,100,0,4.1499176025390625,19327352832,1073741824,11062575104,132972544
199,1743255527245,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.046875,38.544925689697266,38.704044342041016,38.22170639038086,41.90910720825195,40.2562370300293,4.761904716491699,9.090909004211426,68.18181610107422,0,0,0,0,0,0,28.571430206298828,0,7.180744647979736,19327352832,1073741824,11062575104,132972544
200,1743255527445,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.046875,38.544925689697266,38.704044342041016,38.22170639038086,41.90910720825195,40.2562370300293,10,5.263157844543457,0,0,0,0,0,5,0,0,4.761904716491699,7.180744647979736,19327352832,1073741824,11062575104,132972544
206,1743255527646,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.046875,38.544925689697266,38.704044342041016,38.22170639038086,41.90910720825195,40.2562370300293,10,14.285715103149414,0,9.523809432983398,4.761904716491699,0,0,0,0,0,0,7.180744647979736,19327352832,1073741824,11062018048,132972544
201,1743255527854,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,36.5625,38.544288635253906,38.1444206237793,39.65260696411133,40.921749114990234,40.14454650878906,10,5,0,5,4.761904716491699,4.761904716491699,0,0,0,0,0,7.180744647979736,19327352832,1073741824,11061559296,132972544
209,1743255528056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,36.5625,38.544288635253906,38.1444206237793,39.65260696411133,40.921749114990234,40.14454650878906,20,15.000000953674316,0,10,5.263157844543457,5,0,0,0,0,0,7.180744647979736,19327352832,1073741824,11061182464,132972544
