Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742919108103,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.046875,38.927818298339844,39.17694854736328,38.97535705566406,41.65066909790039,41.49256896972656,100,50,0,0,0,0,0,0,0,0,0,5.533866882324219,19327352832,2147483648,7090044928,507641856
204,1742919108104,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.046875,38.927818298339844,39.17694854736328,38.97535705566406,41.65066909790039,41.49256896972656,0,NaN,0,NaN,0,0,NaN,NaN,NaN,0,0,5.533866882324219,19327352832,2147483648,7090044928,507641856
204,1742919108309,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.046875,38.927818298339844,39.17694854736328,38.97535705566406,41.65066909790039,41.49256896972656,26.3157901763916,20,0,13.636363983154297,5,9.523809432983398,5,9.523809432983398,25,15.000000953674316,21.052631378173828,5.560630798339844,19327352832,2147483648,7090044928,507641856
204,1742919108514,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.046875,38.927818298339844,39.17694854736328,38.97535705566406,41.65066909790039,41.49256896972656,10,5,9.523809432983398,0,0,0,0,4.761904716491699,70,10,36.3636360168457,5.560630798339844,19327352832,2147483648,7090044928,507641856
204,1742919108719,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,42.59375,41.1119499206543,42.02655792236328,40.67998123168945,46.265132904052734,42.64433670043945,45,45,45,45,45,40,40,50,57.142860412597656,52.38095474243164,50,5.560630798339844,19327352832,2147483648,7090044928,507641856
202,1742919108924,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,42.59375,41.1119499206543,42.02655792236328,40.67998123168945,46.265132904052734,42.64433670043945,85,75,15.000000953674316,61.904762268066406,50,75,45,20,25,26.3157901763916,35,5.560630798339844,19327352832,2147483648,7871037440,507641856
203,1742919109127,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,42.59375,41.1119499206543,42.02655792236328,40.67998123168945,46.265132904052734,42.64433670043945,30.000001907348633,30.000001907348633,19.047618865966797,15.789472579956055,19.047618865966797,9.523809432983398,0,15.000000953674316,23.809524536132813,28.571430206298828,25,5.560630798339844,19327352832,2147483648,8036237312,507641856
204,1742919109331,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,42.59375,41.1119499206543,42.02655792236328,40.67998123168945,46.265132904052734,42.64433670043945,14.285715103149414,9.523809432983398,5,4.761904716491699,0,0,4.545454502105713,5,10,9.523809432983398,5,6.66766357421875,19327352832,2147483648,8035844096,507641856
202,1742919109536,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,42.59375,41.1119499206543,42.02655792236328,40.67998123168945,46.265132904052734,42.64433670043945,5.263157844543457,0,20,0,0,0,0,20,21.052631378173828,21.052631378173828,28.571430206298828,6.66766357421875,19327352832,2147483648,8044675072,507641856
200,1742919109738,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,43.078125,43.04985427856445,43.08305740356445,42.6195068359375,46.8963508605957,43.81764602661133,31.57894515991211,57.142860412597656,33.333335876464844,55,45,25,35,28.571430206298828,38.095237731933594,38.095237731933594,31.57894515991211,6.66766357421875,19327352832,2147483648,8082685952,507641856
204,1742919109940,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,43.078125,43.04985427856445,43.08305740356445,42.6195068359375,46.8963508605957,43.81764602661133,95,26.3157901763916,15.789472579956055,15.000000953674316,9.523809432983398,19.047618865966797,23.809524536132813,5.263157844543457,5,26.3157901763916,23.809524536132813,6.66766357421875,19327352832,2147483648,8184872960,507641856
204,1742919110144,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,43.078125,43.04985427856445,43.08305740356445,42.6195068359375,46.8963508605957,43.81764602661133,55,20,42.85714340209961,20,95,20,15.789472579956055,19.047618865966797,20,38.095237731933594,36.842105865478516,6.66766357421875,19327352832,2147483648,8287731712,507641856
204,1742919110350,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,43.078125,43.04985427856445,43.08305740356445,42.6195068359375,46.8963508605957,43.81764602661133,38.095237731933594,47.619049072265625,40,38.095237731933594,35,60.000003814697266,47.619049072265625,28.571430206298828,28.571430206298828,50,40.90909194946289,14.149433135986328,19327352832,2147483648,8348221440,507641856
201,1742919110555,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,43.078125,43.04985427856445,43.08305740356445,42.6195068359375,46.8963508605957,43.81764602661133,40,20,23.809524536132813,0,40,0,30.000001907348633,9.523809432983398,0,23.809524536132813,26.3157901763916,14.149433135986328,19327352832,2147483648,8348221440,507641856
200,1742919110756,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.671875,43.48958969116211,42.58785629272461,44.21001434326172,46.052608489990234,44.043697357177734,60.000003814697266,9.523809432983398,30.000001907348633,10,80.95238494873047,0,5,20,5,31.57894515991211,19.047618865966797,14.149433135986328,19327352832,2147483648,8348221440,507641856
201,1742919110957,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.671875,43.48958969116211,42.58785629272461,44.21001434326172,46.052608489990234,44.043697357177734,10,0,25,25,30.000001907348633,42.105262756347656,4.761904716491699,0,0,28.571430206298828,30.000001907348633,14.149433135986328,19327352832,2147483648,8470265856,507641856
203,1742919111159,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.671875,43.48958969116211,42.58785629272461,44.21001434326172,46.052608489990234,44.043697357177734,0,9.523809432983398,25,0,0,0,0,0,0,15.789472579956055,26.3157901763916,14.149433135986328,19327352832,2147483648,8526282752,507641856
204,1742919111362,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.671875,43.48958969116211,42.58785629272461,44.21001434326172,46.052608489990234,44.043697357177734,9.523809432983398,0,25,4.761904716491699,0,0,0,5,0,33.333335876464844,25,12.916454315185547,19327352832,2147483648,8584691712,507641856
201,1742919111567,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.671875,43.48958969116211,42.58785629272461,44.21001434326172,46.052608489990234,44.043697357177734,45,45,55,45,40,42.85714340209961,38.095237731933594,40,45,55,54.54545593261719,12.916454315185547,19327352832,2147483648,8677310464,507641856
204,1742919111769,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.671875,42.92236328125,42.167198181152344,44.018653869628906,45.296478271484375,44.14149856567383,5,5,15.000000953674316,0,0,0,0,5,0,50,5.263157844543457,12.916454315185547,19327352832,2147483648,8759934976,507641856
199,1742919111974,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.671875,42.92236328125,42.167198181152344,44.018653869628906,45.296478271484375,44.14149856567383,10,9.523809432983398,30.000001907348633,5,0,0,0,4.761904716491699,0,25,14.285715103149414,12.916454315185547,19327352832,2147483648,8855404544,507641856
204,1742919112174,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.671875,42.92236328125,42.167198181152344,44.018653869628906,45.296478271484375,44.14149856567383,0,0,9.523809432983398,0,0,0,0,0,0,31.57894515991211,45,13.669994354248047,19327352832,2147483648,8890859520,507641856
201,1742919112379,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.671875,42.92236328125,42.167198181152344,44.018653869628906,45.296478271484375,44.14149856567383,5,4.761904716491699,20,4.761904716491699,0,0,0,9.523809432983398,0,33.333335876464844,26.3157901763916,13.669994354248047,19327352832,2147483648,8939864064,507641856
204,1742919112581,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.671875,42.92236328125,42.167198181152344,44.018653869628906,45.296478271484375,44.14149856567383,9.523809432983398,5,20,0,0,0,0,0,0,20,23.809524536132813,13.669994354248047,19327352832,2147483648,8981069824,507641856
204,1742919112786,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.953125,42.78165817260742,42.044124603271484,43.562721252441406,45.06169509887695,44.09833526611328,0,5,0,0,4.761904716491699,0,0,0,0,4.761904716491699,0,13.669994354248047,19327352832,2147483648,8981397504,507641856
201,1742919112991,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.953125,42.78165817260742,42.044124603271484,43.562721252441406,45.06169509887695,44.09833526611328,14.285715103149414,10,0,9.523809432983398,4.761904716491699,0,0,0,0,0,0,13.669994354248047,19327352832,2147483648,8981774336,507641856
202,1742919113193,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.953125,42.78165817260742,42.044124603271484,43.562721252441406,45.06169509887695,44.09833526611328,15.789472579956055,15.000000953674316,0,9.523809432983398,0,4.761904716491699,0,0,0,0,0,13.5545654296875,19327352832,2147483648,8982970368,507641856
200,1742919113396,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.953125,42.78165817260742,42.044124603271484,43.562721252441406,45.06169509887695,44.09833526611328,25,20,0,15.000000953674316,14.285715103149414,5,0,0,0,0,0,13.5545654296875,19327352832,2147483648,8985985024,507641856
200,1742919113597,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.953125,42.78165817260742,42.044124603271484,43.562721252441406,45.06169509887695,44.09833526611328,5.263157844543457,10,0,0,0,0,0,0,0,0,0,13.5545654296875,19327352832,2147483648,8981184512,507641856
203,1742919113798,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.25,40.15945816040039,40.257225036621094,40.10116195678711,42.8501091003418,42.65209197998047,19.047618865966797,10.526315689086914,0,5,9.523809432983398,0,5,0,0,0,0,13.5545654296875,19327352832,2147483648,8980791296,507641856
201,1742919114002,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.25,40.15945816040039,40.257225036621094,40.10116195678711,42.8501091003418,42.65209197998047,10,14.285715103149414,0,4.761904716491699,0,0,0,0,0,0,0,13.5545654296875,19327352832,2147483648,8980824064,507641856
201,1742919114204,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.25,40.15945816040039,40.257225036621094,40.10116195678711,42.8501091003418,42.65209197998047,10,0,0,5,0,0,0,0,0,0,0,7.836090087890625,19327352832,2147483648,8980512768,507641856
204,1742919114405,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.25,40.15945816040039,40.257225036621094,40.10116195678711,42.8501091003418,42.65209197998047,10.526315689086914,10,0,5.263157844543457,9.523809432983398,9.523809432983398,5,0,0,0,0,7.836090087890625,19327352832,2147483648,8981823488,507641856
200,1742919114610,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.25,40.15945816040039,40.257225036621094,40.10116195678711,42.8501091003418,42.65209197998047,15.000000953674316,19.047618865966797,0,9.523809432983398,0,0,0,0,0,0,0,7.836090087890625,19327352832,2147483648,8983347200,507641856
200,1742919114812,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.765625,39.89408874511719,40.101280212402344,39.90916442871094,42.56685256958008,42.25838088989258,5,5,0,5,0,4.761904716491699,0,0,0,0,0,7.836090087890625,19327352832,2147483648,8982134784,507641856
204,1742919115013,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.765625,39.89408874511719,40.101280212402344,39.90916442871094,42.56685256958008,42.25838088989258,10.526315689086914,10.526315689086914,15.000000953674316,0,4.761904716491699,0,0,0,0,0,0,7.836090087890625,19327352832,2147483648,8995667968,507641856
202,1742919115218,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.765625,39.89408874511719,40.101280212402344,39.90916442871094,42.56685256958008,42.25838088989258,9.090909004211426,9.090909004211426,85,4.545454502105713,4.761904716491699,0,0,0,0,14.285715103149414,0,5.875312805175781,19327352832,2147483648,9011970048,507641856
203,1742919115421,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.765625,39.89408874511719,40.101280212402344,39.90916442871094,42.56685256958008,42.25838088989258,10.526315689086914,5.263157844543457,61.904762268066406,5,0,0,0,0,0,0,5,5.875312805175781,19327352832,2147483648,9011347456,507641856
