Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743264317759,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.140625,35.87472915649414,35.90327072143555,35.85805130004883,38.3892707824707,38.07430648803711,0,0,0,0,0,0,0,0,0,0,0,3.637334108352661,19327352832,1073741824,11335090176,124583936
209,1743264317760,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.140625,35.87472915649414,35.90327072143555,35.85805130004883,38.3892707824707,38.07430648803711,NaN,NaN,NaN,NaN,100,0,NaN,NaN,0,NaN,0,3.637334108352661,19327352832,1073741824,11337842688,124583936
209,1743264317970,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.140625,35.87472915649414,35.90327072143555,35.85805130004883,38.3892707824707,38.07430648803711,23.809524536132813,14.285715103149414,23.809524536132813,18.18181800842285,10,9.523809432983398,4.761904716491699,27.272727966308594,23.809524536132813,28.571430206298828,30.000001907348633,3.637334108352661,19327352832,1073741824,11348803584,124583936
206,1743264318180,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.140625,35.87472915649414,35.90327072143555,35.85805130004883,38.3892707824707,38.07430648803711,36.842105865478516,40.90909194946289,35,35,35,33.333335876464844,33.333335876464844,35,35,39.130435943603516,100,3.637334108352661,19327352832,1073741824,11349082112,124583936
203,1743264318387,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.140625,35.87472915649414,35.90327072143555,35.85805130004883,38.3892707824707,38.07430648803711,13.636363983154297,5.263157844543457,90.47618865966797,13.636363983154297,9.090909004211426,5,13.636363983154297,9.090909004211426,14.285715103149414,5,9.090909004211426,3.6945242881774902,19327352832,1073741824,11349344256,124583936
205,1743264318591,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.140625,35.87472915649414,35.90327072143555,35.85805130004883,38.3892707824707,38.07430648803711,5,9.523809432983398,100,0,0,4.761904716491699,0,0,0,0,0,3.6945242881774902,19327352832,1073741824,11349344256,124583936
200,1743264318797,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.015625,40.185638427734375,38.469505310058594,44.2393798828125,41.926265716552734,39.68183135986328,15.000000953674316,5,100,0,0,4.761904716491699,0,0,0,0,0,3.6945242881774902,19327352832,1073741824,11236900864,124583936
205,1743264318998,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.015625,40.185638427734375,38.469505310058594,44.2393798828125,41.926265716552734,39.68183135986328,50,50,50,47.619049072265625,57.142860412597656,42.105262756347656,42.105262756347656,42.105262756347656,45,45,90.90909576416016,3.6945242881774902,19327352832,1073741824,11231035392,124583936
207,1743264319203,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.015625,40.185638427734375,38.469505310058594,44.2393798828125,41.926265716552734,39.68183135986328,19.047618865966797,14.285715103149414,0,0,10,0,0,0,0,0,90,4.241703033447266,19327352832,1073741824,11227561984,124583936
209,1743264319411,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.015625,40.185638427734375,38.469505310058594,44.2393798828125,41.926265716552734,39.68183135986328,5,9.523809432983398,100,4.545454502105713,0,0,0,0,0,0,0,4.241703033447266,19327352832,1073741824,11226611712,124583936
206,1743264319622,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.015625,40.185638427734375,38.469505310058594,44.2393798828125,41.926265716552734,39.68183135986328,5,5,28.571430206298828,4.761904716491699,0,0,0,4.545454502105713,0,0,0,4.241703033447266,19327352832,1073741824,11226611712,124583936
201,1743264319829,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.765625,40.01177215576172,38.82017135620117,42.58053207397461,41.911231994628906,40.360172271728516,10,5,0,10,0,0,0,0,0,0,0,4.241703033447266,19327352832,1073741824,11224645632,124583936
209,1743264320031,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.765625,40.01177215576172,38.82017135620117,42.58053207397461,41.911231994628906,40.360172271728516,19.047618865966797,14.285715103149414,0,5,9.523809432983398,4.761904716491699,0,0,0,0,0,4.241703033447266,19327352832,1073741824,11223908352,124583936
209,1743264320241,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.765625,40.01177215576172,38.82017135620117,42.58053207397461,41.911231994628906,40.360172271728516,15.000000953674316,15.000000953674316,0,9.523809432983398,5,4.761904716491699,4.761904716491699,0,0,0,0,12.22773265838623,19327352832,1073741824,11223711744,124583936
200,1743264320451,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.765625,40.01177215576172,38.82017135620117,42.58053207397461,41.911231994628906,40.360172271728516,19.047618865966797,19.047618865966797,0,9.523809432983398,4.761904716491699,0,0,0,0,0,0,12.22773265838623,19327352832,1073741824,11223285760,124583936
209,1743264320652,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.765625,40.01177215576172,38.82017135620117,42.58053207397461,41.911231994628906,40.360172271728516,10,5.263157844543457,0,0,0,0,0,0,0,0,0,12.22773265838623,19327352832,1073741824,11223236608,124583936
202,1743264320862,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.109375,36.47568893432617,36.624324798583984,36.63011169433594,39.02614974975586,38.97749328613281,15.000000953674316,14.285715103149414,0,9.523809432983398,0,9.090909004211426,4.545454502105713,0,0,0,0,12.22773265838623,19327352832,1073741824,11221827584,124583936
202,1743264321065,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.109375,36.47568893432617,36.624324798583984,36.63011169433594,39.02614974975586,38.97749328613281,10,10,0,4.761904716491699,9.090909004211426,0,0,0,0,0,0,12.22773265838623,19327352832,1073741824,11221598208,124583936
206,1743264321268,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.109375,36.47568893432617,36.624324798583984,36.63011169433594,39.02614974975586,38.97749328613281,10,9.523809432983398,0,5.263157844543457,0,0,0,0,0,0,0,9.814374923706055,19327352832,1073741824,11221598208,124583936
