Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743267016134,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.890625,35.67078399658203,35.809715270996094,35.5669059753418,38.231327056884766,37.9920768737793,0,NaN,0,0,0,0,0,0,0,0,0,3.650782346725464,19327352832,1073741824,11099422720,124583936
209,1743267016134,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.890625,35.67078399658203,35.809715270996094,35.5669059753418,38.231327056884766,37.9920768737793,NaN,0,NaN,0,NaN,NaN,0,0,0,0,NaN,3.650782346725464,19327352832,1073741824,11101749248,124583936
206,1743267016345,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.890625,35.67078399658203,35.809715270996094,35.5669059753418,38.231327056884766,37.9920768737793,23.809524536132813,22.72727394104004,23.809524536132813,15.000000953674316,13.636363983154297,13.636363983154297,0,23.809524536132813,25,25,42.85714340209961,3.605289936065674,19327352832,1073741824,11112480768,124583936
199,1743267016551,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.890625,35.67078399658203,35.809715270996094,35.5669059753418,38.231327056884766,37.9920768737793,9.523809432983398,0,40,4.761904716491699,0,0,0,35,42.85714340209961,22.72727394104004,85,3.605289936065674,19327352832,1073741824,11112562688,124583936
204,1743267016752,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,36.078125,37.10799026489258,37.38844299316406,36.990638732910156,40.38642501831055,39.04277038574219,0,5,4.761904716491699,0,0,0,0,4.761904716491699,0,100,4.761904716491699,3.605289936065674,19327352832,1073741824,11112562688,124583936
200,1743267016957,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,36.078125,37.10799026489258,37.38844299316406,36.990638732910156,40.38642501831055,39.04277038574219,5,5,0,0,0,0,4.545454502105713,0,0,100,0,3.605289936065674,19327352832,1073741824,11112562688,124583936
203,1743267017158,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,36.078125,37.10799026489258,37.38844299316406,36.990638732910156,40.38642501831055,39.04277038574219,10.526315689086914,9.523809432983398,0,5,0,0,0,0,0,100,0,3.605289936065674,19327352832,1073741824,10996711424,124583936
207,1743267017362,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,36.078125,37.10799026489258,37.38844299316406,36.990638732910156,40.38642501831055,39.04277038574219,9.523809432983398,0,42.85714340209961,4.761904716491699,4.761904716491699,0,0,0,45,100,42.85714340209961,4.2494425773620605,19327352832,1073741824,10996531200,124583936
199,1743267017569,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,36.078125,37.10799026489258,37.38844299316406,36.990638732910156,40.38642501831055,39.04277038574219,5,9.523809432983398,0,4.761904716491699,4.761904716491699,0,0,0,0,90.47618865966797,10,4.2494425773620605,19327352832,1073741824,10997186560,124583936
205,1743267017770,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,36.5625,38.305572509765625,38.68875503540039,38.15060806274414,41.72936248779297,40.39301300048828,20,5,0,5.263157844543457,0,0,0,0,0,0,100,4.2494425773620605,19327352832,1073741824,10999496704,124583936
