Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742925326558,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.59375,37.28462219238281,37.48160934448242,37.50093460083008,39.87377166748047,39.85604476928711,100,0,0,0,0,0,0,0,0,0,0,3.8329179286956787,19327352832,1073741824,10056171520,274726912
204,1742925326559,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.59375,37.28462219238281,37.48160934448242,37.50093460083008,39.87377166748047,39.85604476928711,0,NaN,NaN,NaN,0,NaN,0,0,0,0,NaN,3.8329179286956787,19327352832,1073741824,10056171520,274726912
204,1742925326764,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.59375,37.28462219238281,37.48160934448242,37.50093460083008,39.87377166748047,39.85604476928711,26.3157901763916,20,25,19.047618865966797,10,10,10,42.105262756347656,30.000001907348633,30.000001907348633,33.333335876464844,3.8329179286956787,19327352832,1073741824,10056171520,274726912
204,1742925326969,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.046875,38.2407341003418,38.13371658325195,38.05512237548828,40.94764709472656,40.02906799316406,40,42.85714340209961,36.842105865478516,40,40,38.095237731933594,35,100,38.095237731933594,38.095237731933594,35,3.8329179286956787,19327352832,1073741824,10056171520,274726912
204,1742925327174,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.046875,38.2407341003418,38.13371658325195,38.05512237548828,40.94764709472656,40.02906799316406,9.523809432983398,5,4.761904716491699,9.523809432983398,4.761904716491699,4.761904716491699,4.761904716491699,9.523809432983398,5,5,95.23809814453125,3.8329179286956787,19327352832,1073741824,10056171520,274726912
204,1742925327379,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.046875,38.2407341003418,38.13371658325195,38.05512237548828,40.94764709472656,40.02906799316406,10,5,0,0,4.761904716491699,0,0,0,0,0,100,4.0683159828186035,19327352832,1073741824,10069000192,274726912
200,1742925327583,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.046875,38.2407341003418,38.13371658325195,38.05512237548828,40.94764709472656,40.02906799316406,4.761904716491699,4.761904716491699,0,0,0,0,0,0,0,0,100,4.0683159828186035,19327352832,1073741824,10069049344,274726912
201,1742925327784,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.046875,38.2407341003418,38.13371658325195,38.05512237548828,40.94764709472656,40.02906799316406,50,45,47.619049072265625,45,45,42.105262756347656,42.105262756347656,45,45,42.105262756347656,100,4.0683159828186035,19327352832,1073741824,10069082112,274726912
200,1742925327987,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.21875,41.55931091308594,40.802467346191406,40.47450637817383,44.35143280029297,42.3102912902832,84.21052551269531,80,0,85.71428680419922,75,80,71.42857360839844,0,20,0,76.19047546386719,4.0683159828186035,19327352832,1073741824,10139172864,274726912
199,1742925328189,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.21875,41.55931091308594,40.802467346191406,40.47450637817383,44.35143280029297,42.3102912902832,45,5,0,0,95,9.523809432983398,0,0,100,0,0,4.0683159828186035,19327352832,1073741824,10141024256,274726912
204,1742925328388,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.21875,41.55931091308594,40.802467346191406,40.47450637817383,44.35143280029297,42.3102912902832,33.333335876464844,15.789472579956055,0,75,20,0,0,0,9.523809432983398,5,0,9.893125534057617,19327352832,1073741824,10142564352,274726912
200,1742925328594,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.21875,41.55931091308594,40.802467346191406,40.47450637817383,44.35143280029297,42.3102912902832,47.36842346191406,15.000000953674316,0,9.523809432983398,25,4.761904716491699,55,0,0,0,0,9.893125534057617,19327352832,1073741824,10144120832,274726912
203,1742925328796,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,43.078125,40.09105682373047,42.719329833984375,39.37123489379883,47.60120391845703,42.45413589477539,84.21052551269531,42.85714340209961,0,10.526315689086914,5,5.263157844543457,20,0,0,0,0,9.893125534057617,19327352832,1073741824,10145824768,274726912
204,1742925329000,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,43.078125,40.09105682373047,42.719329833984375,39.37123489379883,47.60120391845703,42.45413589477539,52.38095474243164,35,0,45,28.571430206298828,9.523809432983398,19.047618865966797,0,0,0,0,9.893125534057617,19327352832,1073741824,10146758656,274726912
