Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743221721685,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.953125,41.748226165771484,42.040687561035156,41.87623977661133,44.350685119628906,44.199832916259766,0,100,0,0,NaN,0,0,0,NaN,0,0,3.1770451068878174,19327352832,1073741824,10813997056,132972544
201,1743221721685,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.953125,41.748226165771484,42.040687561035156,41.87623977661133,44.350685119628906,44.199832916259766,100,0,NaN,NaN,0,NaN,0,0,0,NaN,NaN,3.1770451068878174,19327352832,1073741824,10814291968,132972544
200,1743221721887,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.1875,41.877479553222656,42.07929611206055,42.0529899597168,44.499515533447266,44.24496841430664,21.052631378173828,25,33.333335876464844,20,10,9.523809432983398,14.285715103149414,35,25,33.333335876464844,30.000001907348633,3.1770451068878174,19327352832,1073741824,10827005952,132972544
209,1743221722088,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.1875,41.877479553222656,42.07929611206055,42.0529899597168,44.499515533447266,44.24496841430664,33.333335876464844,30.000001907348633,30.000001907348633,30.000001907348633,33.333335876464844,30.000001907348633,26.3157901763916,100,30.000001907348633,30.000001907348633,30.000001907348633,3.1770451068878174,19327352832,1073741824,10826858496,132972544
200,1743221722299,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.1875,41.877479553222656,42.07929611206055,42.0529899597168,44.499515533447266,44.24496841430664,15.000000953674316,19.047618865966797,14.285715103149414,14.285715103149414,10,14.285715103149414,14.285715103149414,14.285715103149414,13.636363983154297,95.23809814453125,19.047618865966797,3.2153241634368896,19327352832,1073741824,10827038720,132972544
206,1743221722500,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.1875,41.877479553222656,42.07929611206055,42.0529899597168,44.499515533447266,44.24496841430664,47.619049072265625,42.105262756347656,42.105262756347656,45,45,40,42.85714340209961,45,42.105262756347656,100,45,3.2153241634368896,19327352832,1073741824,10827055104,132972544
208,1743221722707,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,43.078125,46.38179016113281,45.0467529296875,44.80813980102539,48.5608024597168,46.07826232910156,5.263157844543457,9.090909004211426,0,0,0,0,0,0,4.545454502105713,100,0,3.2153241634368896,19327352832,1073741824,10805936128,132972544
201,1743221722917,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,43.078125,46.38179016113281,45.0467529296875,44.80813980102539,48.5608024597168,46.07826232910156,9.523809432983398,10,4.545454502105713,10,0,8.69565200805664,0,0,0,100,0,3.2153241634368896,19327352832,1073741824,10805805056,132972544
200,1743221723118,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,43.078125,46.38179016113281,45.0467529296875,44.80813980102539,48.5608024597168,46.07826232910156,25,23.809524536132813,78.94737243652344,22.72727394104004,19.047618865966797,31.57894515991211,15.000000953674316,21.052631378173828,15.000000953674316,38.095237731933594,25,3.2153241634368896,19327352832,1073741824,10805805056,132972544
202,1743221723320,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,43.078125,46.38179016113281,45.0467529296875,44.80813980102539,48.5608024597168,46.07826232910156,65,63.15789031982422,70,57.894737243652344,57.894737243652344,55,55,75,80.95238494873047,75,71.42857360839844,4.030329704284668,19327352832,1073741824,10805805056,132972544
