Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743220752716,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.1875,42.255428314208984,42.24958419799805,42.3580207824707,44.77605438232422,44.46095657348633,NaN,0,0,0,0,NaN,0,0,0,0,0,3.3130335807800293,19327352832,1073741824,10779197440,132972544
201,1743220752717,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.671875,42.255428314208984,42.24958419799805,42.3580207824707,44.959197998046875,44.52448272705078,100,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,3.3130335807800293,19327352832,1073741824,10779410432,132972544
203,1743220752919,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.671875,42.255428314208984,42.24958419799805,42.3580207824707,44.959197998046875,44.52448272705078,25,20,31.57894515991211,20,10,10,9.523809432983398,30.000001907348633,26.3157901763916,23.809524536132813,30.000001907348633,3.3130335807800293,19327352832,1073741824,10792206336,132972544
203,1743220753123,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.671875,42.255428314208984,42.24958419799805,42.3580207824707,44.959197998046875,44.52448272705078,5,9.523809432983398,28.571430206298828,4.761904716491699,0,0,0,14.285715103149414,85.71428680419922,28.571430206298828,28.571430206298828,3.3130335807800293,19327352832,1073741824,10792206336,132972544
209,1743220753327,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.671875,42.255428314208984,42.24958419799805,42.3580207824707,44.959197998046875,44.52448272705078,9.523809432983398,0,15.000000953674316,0,4.761904716491699,0,0,0,100,15.000000953674316,15.000000953674316,3.3004491329193115,19327352832,1073741824,10792206336,132972544
203,1743220753537,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.671875,42.255428314208984,42.24958419799805,42.3580207824707,44.959197998046875,44.52448272705078,0,9.523809432983398,40.90909194946289,4.761904716491699,0,0,0,42.85714340209961,100,0,42.85714340209961,3.3004491329193115,19327352832,1073741824,10792828928,132972544
207,1743220753741,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.6875,46.8638916015625,52.52660369873047,45.09674835205078,61.30154037475586,47.86344528198242,20,14.285715103149414,0,5,0,0,0,0,60.000003814697266,0,38.095237731933594,3.3004491329193115,19327352832,1073741824,10758782976,132972544
206,1743220753949,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.6875,46.8638916015625,52.52660369873047,45.09674835205078,61.30154037475586,47.86344528198242,4.761904716491699,4.761904716491699,0,4.545454502105713,9.090909004211426,0,0,9.523809432983398,0,0,90.47618865966797,3.3004491329193115,19327352832,1073741824,10758471680,132972544
204,1743220754156,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.6875,46.8638916015625,52.52660369873047,45.09674835205078,61.30154037475586,47.86344528198242,9.523809432983398,5,0,0,0,4.545454502105713,0,100,30.000001907348633,33.333335876464844,35,3.3004491329193115,19327352832,1073741824,10758275072,132972544
203,1743220754360,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.6875,46.8638916015625,52.52660369873047,45.09674835205078,61.30154037475586,47.86344528198242,0,0,55,0,0,0,0,23.809524536132813,61.904762268066406,90,50,4.415991306304932,19327352832,1073741824,10758193152,132972544
201,1743220754565,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.6875,46.8638916015625,52.52660369873047,45.09674835205078,61.30154037475586,47.86344528198242,10,10,61.904762268066406,4.761904716491699,0,0,0,100,45,15.000000953674316,61.904762268066406,4.415991306304932,19327352832,1073741824,10757931008,132972544
201,1743220754767,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,47.890625,55.90436935424805,51.81041717529297,52.340980529785156,55.93451690673828,48.8704833984375,4.761904716491699,0,60.000003814697266,0,0,0,0,55,30.000001907348633,61.904762268066406,80,4.415991306304932,19327352832,1073741824,10757881856,132972544
203,1743220754968,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,47.890625,55.90436935424805,51.81041717529297,52.340980529785156,55.93451690673828,48.8704833984375,5.263157844543457,9.523809432983398,60.000003814697266,4.761904716491699,0,0,0,50,85,52.6315803527832,30.000001907348633,4.415991306304932,19327352832,1073741824,10757799936,132972544
