Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742945666933,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,31.953125,33.828521728515625,33.863250732421875,33.74924850463867,36.50275802612305,36.119441986083984,0,50,0,0,0,0,0,0,0,0,0,3.8393778800964355,19327352832,1073741824,11210227712,130940928
203,1742945666934,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,31.953125,33.828521728515625,33.863250732421875,33.74924850463867,36.50275802612305,36.119441986083984,NaN,NaN,0,NaN,0,NaN,0,0,NaN,0,NaN,3.8393778800964355,19327352832,1073741824,11210227712,130940928
205,1742945667138,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.4375,34.01595687866211,34.04618453979492,33.897090911865234,36.63301467895508,36.203857421875,25,20,30.000001907348633,20,15.000000953674316,14.285715103149414,15.000000953674316,38.095237731933594,45,25,30.000001907348633,3.8393778800964355,19327352832,1073741824,11210227712,130940928
209,1742945667344,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.4375,34.01595687866211,34.04618453979492,33.897090911865234,36.63301467895508,36.203857421875,40,38.095237731933594,40,42.85714340209961,40,38.095237731933594,35,38.095237731933594,100,40,42.85714340209961,3.8393778800964355,19327352832,1073741824,11210227712,130940928
199,1742945667554,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.4375,34.01595687866211,34.04618453979492,33.897090911865234,36.63301467895508,36.203857421875,9.523809432983398,5,4.545454502105713,4.761904716491699,0,0,4.761904716491699,4.761904716491699,4.545454502105713,4.761904716491699,100,3.855726480484009,19327352832,1073741824,11224006656,130940928
201,1742945667754,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.4375,34.01595687866211,34.04618453979492,33.897090911865234,36.63301467895508,36.203857421875,45,45,42.105262756347656,40,45,42.85714340209961,40,84.21052551269531,45,42.85714340209961,60.000003814697266,3.855726480484009,19327352832,1073741824,11223728128,130940928
209,1742945667956,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.4375,34.01595687866211,34.04618453979492,33.897090911865234,36.63301467895508,36.203857421875,4.761904716491699,5,0,0,0,0,4.761904716491699,71.42857360839844,25,0,0,3.855726480484009,19327352832,1073741824,11223646208,130940928
203,1742945668166,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.25,40.02587127685547,39.79100036621094,37.65569305419922,45.2878303527832,38.98661422729492,10,4.761904716491699,72.7272720336914,0,4.545454502105713,0,0,0,28.571430206298828,0,0,3.855726480484009,19327352832,1073741824,11224088576,130940928
209,1742945668369,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.25,40.02587127685547,39.79100036621094,37.65569305419922,45.2878303527832,38.98661422729492,30.000001907348633,30.000001907348633,36.842105865478516,28.571430206298828,21.052631378173828,21.052631378173828,20,31.57894515991211,30.000001907348633,31.57894515991211,85.71428680419922,3.855726480484009,19327352832,1073741824,11223941120,130940928
209,1742945668580,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.25,40.02587127685547,39.79100036621094,37.65569305419922,45.2878303527832,38.98661422729492,42.85714340209961,35,90.47618865966797,35,33.333335876464844,33.333335876464844,28.571430206298828,42.85714340209961,40,40.90909194946289,45.45454788208008,7.374000549316406,19327352832,1073741824,11224350720,130940928
207,1742945668790,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.25,40.02587127685547,39.79100036621094,37.65569305419922,45.2878303527832,38.98661422729492,5,9.090909004211426,80.95238494873047,4.761904716491699,0,0,0,4.761904716491699,4.545454502105713,0,0,7.374000549316406,19327352832,1073741824,11224203264,130940928
6,1742945668998,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.21875,40.34303283691406,39.539188385009766,41.992919921875,43.579044342041016,39.64180374145508,9.523809432983398,5,13.636363983154297,4.761904716491699,4.761904716491699,4.545454502105713,0,13.636363983154297,14.285715103149414,9.523809432983398,9.523809432983398,7.374000549316406,19327352832,1073741824,11212636160,130940928
