Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743209551487,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,47.40625,49.31874084472656,49.404788970947266,49.08254623413086,51.77468490600586,51.989131927490234,66.66667175292969,0,0,100,0,0,33.333335876464844,0,0,0,0,5.202648162841797,19327352832,1073741824,10829398016,132972544
209,1743209551487,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,47.40625,49.31874084472656,49.404788970947266,49.08254623413086,51.77468490600586,51.989131927490234,NaN,NaN,0,0,50,50,0,0,0,0,0,5.202648162841797,19327352832,1073741824,10833575936,132972544
209,1743209551697,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,47.40625,49.31874084472656,49.404788970947266,49.08254623413086,51.77468490600586,51.989131927490234,60.000003814697266,50,25,42.105262756347656,38.095237731933594,35,36.842105865478516,23.809524536132813,38.095237731933594,30.000001907348633,28.571430206298828,5.202648162841797,19327352832,1073741824,10842914816,132972544
202,1743209551907,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.234375,49.850894927978516,50.176544189453125,49.58406066894531,53.048484802246094,52.215850830078125,66.66667175292969,66.66667175292969,42.85714340209961,63.6363639831543,65,60.000003814697266,50,40,100,42.85714340209961,40,5.202648162841797,19327352832,1073741824,10843095040,132972544
209,1743209552110,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.234375,49.850894927978516,50.176544189453125,49.58406066894531,53.048484802246094,52.215850830078125,50,47.36842346191406,0,30.000001907348633,25,28.571430206298828,26.3157901763916,5,0,95,0,5.202648162841797,19327352832,1073741824,10843144192,132972544
201,1743209552320,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.234375,49.850894927978516,50.176544189453125,49.58406066894531,53.048484802246094,52.215850830078125,71.42857360839844,66.66667175292969,40.90909194946289,57.142860412597656,57.142860412597656,57.142860412597656,52.38095474243164,42.85714340209961,40,85.71428680419922,57.142860412597656,5.475883483886719,19327352832,1073741824,10843340800,132972544
200,1743209552522,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.234375,49.850894927978516,50.176544189453125,49.58406066894531,53.048484802246094,52.215850830078125,42.105262756347656,65,0,31.57894515991211,31.57894515991211,25,25,0,0,0,100,5.475883483886719,19327352832,1073741824,10744512512,132972544
209,1743209552722,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,52.671875,52.51188659667969,53.83174133300781,51.55295944213867,58.2887077331543,54.22643280029297,55,47.36842346191406,0,47.36842346191406,35,25,40,0,30.000001907348633,42.85714340209961,20,5.475883483886719,19327352832,1073741824,10745987072,132972544
201,1743209552933,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,52.671875,52.51188659667969,53.83174133300781,51.55295944213867,58.2887077331543,54.22643280029297,45,52.38095474243164,0,28.571430206298828,42.85714340209961,30.000001907348633,19.047618865966797,0,54.54545593261719,42.85714340209961,0,5.475883483886719,19327352832,1073741824,10746347520,132972544
204,1743209553135,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,52.671875,52.51188659667969,53.83174133300781,51.55295944213867,58.2887077331543,54.22643280029297,70,65,42.85714340209961,55,57.894737243652344,55,45,45,42.105262756347656,95,40,5.475883483886719,19327352832,1073741824,10745643008,132972544
200,1743209553340,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,52.671875,52.51188659667969,53.83174133300781,51.55295944213867,58.2887077331543,54.22643280029297,90,85,85.71428680419922,78.94737243652344,76.19047546386719,73.68421173095703,73.68421173095703,78.94737243652344,86.36363983154297,85,90.47618865966797,10.733123779296875,19327352832,1073741824,10745053184,132972544
200,1743209553541,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,52.671875,52.51188659667969,53.83174133300781,51.55295944213867,58.2887077331543,54.22643280029297,84.21052551269531,88.8888931274414,84.21052551269531,80.95238494873047,78.94737243652344,75,70,85.71428680419922,84.21052551269531,85.71428680419922,85,10.733123779296875,19327352832,1073741824,10745036800,132972544
202,1743209553742,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,54.34375,59.07931900024414,59.634395599365234,57.721988677978516,66.51851654052734,56.59977722167969,90,85.71428680419922,85.71428680419922,84.21052551269531,80,78.94737243652344,75,90,90,85,89.47368621826172,10.733123779296875,19327352832,1073741824,10743775232,132972544
209,1743209553945,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,54.34375,59.07931900024414,59.634395599365234,57.721988677978516,66.51851654052734,56.59977722167969,90,89.47368621826172,95,84.21052551269531,84.21052551269531,80,78.94737243652344,85.71428680419922,85,89.47368621826172,85.71428680419922,10.733123779296875,19327352832,1073741824,10743037952,132972544
208,1743209554154,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,54.34375,59.07931900024414,59.634395599365234,57.721988677978516,66.51851654052734,56.59977722167969,95,85.71428680419922,85,80.95238494873047,80,76.19047546386719,75,85,85.71428680419922,90.90909576416016,85.71428680419922,10.733123779296875,19327352832,1073741824,10742235136,132972544
201,1743209554363,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,54.34375,59.07931900024414,59.634395599365234,57.721988677978516,66.51851654052734,56.59977722167969,85.71428680419922,85,90.47618865966797,84.21052551269531,80,80,71.42857360839844,90,85.71428680419922,85,90,15.240974426269531,19327352832,1073741824,10741481472,132972544
209,1743209554564,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,54.34375,59.07931900024414,59.634395599365234,57.721988677978516,66.51851654052734,56.59977722167969,89.47368621826172,89.47368621826172,89.47368621826172,84.21052551269531,80,75,73.68421173095703,85.71428680419922,85,85,90,15.240974426269531,19327352832,1073741824,10740842496,132972544
209,1743209554774,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,55.296875,63.3006591796875,62.00849151611328,61.96109390258789,69.21720123291016,58.214691162109375,95,85.71428680419922,86.36363983154297,86.36363983154297,80.95238494873047,80,78.94737243652344,85,90.47618865966797,90.47618865966797,85.71428680419922,15.240974426269531,19327352832,1073741824,10740121600,132972544
209,1743209554985,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,55.296875,63.3006591796875,62.00849151611328,61.96109390258789,69.21720123291016,58.214691162109375,90.47618865966797,85,80.95238494873047,80,80,76.19047546386719,71.42857360839844,86.36363983154297,85,85.71428680419922,86.36363983154297,15.240974426269531,19327352832,1073741824,10740121600,132972544
209,1743209555194,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,55.296875,63.3006591796875,62.00849151611328,61.96109390258789,69.21720123291016,58.214691162109375,89.47368621826172,90.47618865966797,90,85,80,78.94737243652344,76.19047546386719,90,85.71428680419922,90.47618865966797,85,25.01925277709961,19327352832,1073741824,10740121600,132972544
