Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743221965336,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.953125,41.923126220703125,42.08551025390625,41.99262619018555,44.55641174316406,44.34477233886719,50,0,0,0,0,0,0,0,0,0,0,3.2133069038391113,19327352832,1073741824,10802626560,132972544
209,1743221965336,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.953125,41.923126220703125,42.08551025390625,41.99262619018555,44.55641174316406,44.34477233886719,NaN,0,NaN,NaN,0,100,0,0,0,0,NaN,3.2133069038391113,19327352832,1073741824,10805788672,132972544
204,1743221965546,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.953125,41.923126220703125,42.08551025390625,41.99262619018555,44.55641174316406,44.34477233886719,30.000001907348633,23.809524536132813,31.81818199157715,14.285715103149414,9.523809432983398,5,9.523809432983398,28.571430206298828,23.809524536132813,30.000001907348633,33.333335876464844,3.2133069038391113,19327352832,1073741824,10815832064,132972544
209,1743221965751,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,41.640625,42.551395416259766,42.596736907958984,42.6223030090332,45.41429901123047,44.638065338134766,4.761904716491699,0,23.809524536132813,0,0,4.761904716491699,0,14.285715103149414,30.000001907348633,95.23809814453125,30.000001907348633,3.2133069038391113,19327352832,1073741824,10815913984,132972544
203,1743221965961,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,41.640625,42.551395416259766,42.596736907958984,42.6223030090332,45.41429901123047,44.638065338134766,5,4.761904716491699,0,0,0,0,0,100,14.285715103149414,14.285715103149414,13.636363983154297,3.2133069038391113,19327352832,1073741824,10815913984,132972544
199,1743221966165,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,41.640625,42.551395416259766,42.596736907958984,42.6223030090332,45.41429901123047,44.638065338134766,5,5,60.000003814697266,9.090909004211426,4.761904716491699,0,4.761904716491699,85,25,40,15.000000953674316,3.1583356857299805,19327352832,1073741824,10815930368,132972544
203,1743221966365,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,41.640625,42.551395416259766,42.596736907958984,42.6223030090332,45.41429901123047,44.638065338134766,9.523809432983398,10,95,0,0,0,0,0,0,0,5,3.1583356857299805,19327352832,1073741824,10815930368,132972544
200,1743221966569,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,41.640625,42.551395416259766,42.596736907958984,42.6223030090332,45.41429901123047,44.638065338134766,0,0,0,0,4.761904716491699,0,0,0,0,4.761904716491699,100,3.1583356857299805,19327352832,1073741824,10815930368,132972544
206,1743221966769,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,43.328125,49.823734283447266,45.91532516479492,49.41973114013672,49.76974105834961,46.58718490600586,10,10,80,23.809524536132813,0,0,0,0,0,0,20,3.1583356857299805,19327352832,1073741824,10802659328,132972544
209,1743221966977,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,43.328125,49.823734283447266,45.91532516479492,49.41973114013672,49.76974105834961,46.58718490600586,5,9.090909004211426,85.71428680419922,0,0,0,0,57.142860412597656,50,60.000003814697266,19.047618865966797,3.1583356857299805,19327352832,1073741824,10802872320,132972544
209,1743221967187,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,43.328125,49.823734283447266,45.91532516479492,49.41973114013672,49.76974105834961,46.58718490600586,9.523809432983398,5,35,0,4.545454502105713,0,0,80,27.272727966308594,80.95238494873047,57.142860412597656,5.94553804397583,19327352832,1073741824,10802823168,132972544
199,1743221967397,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,43.328125,49.823734283447266,45.91532516479492,49.41973114013672,49.76974105834961,46.58718490600586,9.523809432983398,0,40.90909194946289,5,4.545454502105713,0,0,33.333335876464844,60.000003814697266,85.71428680419922,66.66667175292969,5.94553804397583,19327352832,1073741824,10802528256,132972544
200,1743221967597,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,43.328125,49.823734283447266,45.91532516479492,49.41973114013672,49.76974105834961,46.58718490600586,0,5,60.000003814697266,9.090909004211426,0,0,0,55,80.95238494873047,15.000000953674316,66.66667175292969,5.94553804397583,19327352832,1073741824,10802544640,132972544
200,1743221967798,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,49.5625,56.28081512451172,54.08399200439453,56.14013671875,58.81705856323242,49.44203567504883,9.523809432983398,4.761904716491699,60.000003814697266,0,0,4.761904716491699,0,10.526315689086914,47.36842346191406,60.000003814697266,100,5.94553804397583,19327352832,1073741824,10802380800,132972544
200,1743221967999,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,49.5625,56.28081512451172,54.08399200439453,56.14013671875,58.81705856323242,49.44203567504883,5,5,75,0,0,0,0,61.904762268066406,55,45,42.85714340209961,5.94553804397583,19327352832,1073741824,10802036736,132972544
207,1743221968201,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,49.5625,56.28081512451172,54.08399200439453,56.14013671875,58.81705856323242,49.44203567504883,5.263157844543457,5,95,0,0,0,0,57.894737243652344,60.000003814697266,23.809524536132813,52.6315803527832,12.676384925842285,19327352832,1073741824,10801790976,132972544
200,1743221968408,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,49.5625,56.28081512451172,54.08399200439453,56.14013671875,58.81705856323242,49.44203567504883,4.761904716491699,0,19.047618865966797,0,0,0,0,57.142860412597656,61.904762268066406,71.42857360839844,71.42857360839844,12.676384925842285,19327352832,1073741824,10801741824,132972544
201,1743221968609,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,49.5625,56.28081512451172,54.08399200439453,56.14013671875,58.81705856323242,49.44203567504883,5,9.523809432983398,26.3157901763916,4.761904716491699,0,0,0,33.333335876464844,60.000003814697266,57.894737243652344,100,12.676384925842285,19327352832,1073741824,10801545216,132972544
201,1743221968811,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.125,56.765411376953125,56.28082275390625,56.3545036315918,60.22597122192383,50.93465805053711,0,0,45,4.761904716491699,0,0,0,15.000000953674316,60.000003814697266,61.904762268066406,100,12.676384925842285,19327352832,1073741824,10801348608,132972544
203,1743221969013,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.125,56.765411376953125,56.28082275390625,56.3545036315918,60.22597122192383,50.93465805053711,9.523809432983398,5,52.38095474243164,0,0,0,0,57.894737243652344,25,47.36842346191406,95.23809814453125,12.676384925842285,19327352832,1073741824,10801184768,132972544
209,1743221969217,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.125,56.765411376953125,56.28082275390625,56.3545036315918,60.22597122192383,50.93465805053711,5,0,42.85714340209961,0,0,0,0,63.6363639831543,42.85714340209961,38.095237731933594,100,20.228527069091797,19327352832,1073741824,10801332224,132972544
202,1743221969427,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.125,56.765411376953125,56.28082275390625,56.3545036315918,60.22597122192383,50.93465805053711,4.761904716491699,4.761904716491699,57.142860412597656,0,0,0,0,80,60.000003814697266,42.85714340209961,35,20.228527069091797,19327352832,1073741824,10801037312,132972544
205,1743221969629,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.125,56.765411376953125,56.28082275390625,56.3545036315918,60.22597122192383,50.93465805053711,5,5,60.000003814697266,4.761904716491699,0,0,0,95.23809814453125,42.85714340209961,25,52.38095474243164,20.228527069091797,19327352832,1073741824,10800857088,132972544
199,1743221969836,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.84375,58.881988525390625,55.382572174072266,56.637638092041016,59.69947052001953,51.18629455566406,0,0,61.904762268066406,0,0,0,0,100,5,52.38095474243164,60.000003814697266,20.228527069091797,19327352832,1073741824,10800627712,132972544
200,1743221970036,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.84375,58.881988525390625,55.382572174072266,56.637638092041016,59.69947052001953,51.18629455566406,10,10,85,5,5,0,0,42.105262756347656,57.142860412597656,42.105262756347656,63.6363639831543,20.228527069091797,19327352832,1073741824,10800578560,132972544
200,1743221970237,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.84375,58.881988525390625,55.382572174072266,56.637638092041016,59.69947052001953,51.18629455566406,9.523809432983398,9.523809432983398,100,0,0,5,0,50,60.000003814697266,61.904762268066406,10.526315689086914,20.52057456970215,19327352832,1073741824,10799955968,132972544
201,1743221970438,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.84375,58.881988525390625,55.382572174072266,56.637638092041016,59.69947052001953,51.18629455566406,0,0,85,0,4.761904716491699,0,0,70,35,35,55,20.52057456970215,19327352832,1073741824,10799955968,132972544
201,1743221970640,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.84375,58.881988525390625,55.382572174072266,56.637638092041016,59.69947052001953,51.18629455566406,5,0,71.42857360839844,4.761904716491699,0,0,0,71.42857360839844,60.000003814697266,20,60.000003814697266,20.52057456970215,19327352832,1073741824,10799955968,132972544
201,1743221970841,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,49.328125,61.73094177246094,56.104427337646484,62.18185043334961,60.743553161621094,51.501708984375,9.523809432983398,9.523809432983398,100,0,0,0,0,0,60.000003814697266,63.15789031982422,61.904762268066406,20.52057456970215,19327352832,1073741824,10799349760,132972544
201,1743221971043,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,49.328125,61.73094177246094,56.104427337646484,62.18185043334961,60.743553161621094,51.501708984375,0,0,25,0,0,0,0,60.000003814697266,60.000003814697266,59.09090805053711,78.94737243652344,20.52057456970215,19327352832,1073741824,10799218688,132972544
206,1743221971245,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,49.328125,61.73094177246094,56.104427337646484,62.18185043334961,60.743553161621094,51.501708984375,5,5,60.000003814697266,4.761904716491699,0,0,0,35,35,100,52.38095474243164,20.31208610534668,19327352832,1073741824,10799022080,132972544
206,1743221971451,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,49.328125,61.73094177246094,56.104427337646484,62.18185043334961,60.743553161621094,51.501708984375,5,4.761904716491699,61.904762268066406,0,0,0,0,10,85,76.19047546386719,50,20.31208610534668,19327352832,1073741824,10799022080,132972544
208,1743221971658,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.234375,56.517581939697266,58.23285675048828,58.17597579956055,63.09548568725586,52.213539123535156,4.761904716491699,4.761904716491699,61.904762268066406,4.761904716491699,0,0,0,52.38095474243164,80.95238494873047,61.904762268066406,23.809524536132813,20.31208610534668,19327352832,1073741824,10799022080,132972544
201,1743221971867,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.234375,56.517581939697266,58.23285675048828,58.17597579956055,63.09548568725586,52.213539123535156,5,0,23.809524536132813,0,0,0,0,38.095237731933594,76.19047546386719,57.142860412597656,80.95238494873047,20.31208610534668,19327352832,1073741824,10798268416,132972544
200,1743221972069,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.234375,56.517581939697266,58.23285675048828,58.17597579956055,63.09548568725586,52.213539123535156,9.523809432983398,9.523809432983398,61.904762268066406,5.263157844543457,0,0,0,42.85714340209961,100,21.052631378173828,63.15789031982422,20.31208610534668,19327352832,1073741824,10798104576,132972544
200,1743221972270,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.234375,56.517581939697266,58.23285675048828,58.17597579956055,63.09548568725586,52.213539123535156,5.263157844543457,0,65,4.761904716491699,5,0,0,15.000000953674316,61.904762268066406,55,85,21.014034271240234,19327352832,1073741824,10797662208,132972544
206,1743221972471,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.234375,56.517581939697266,58.23285675048828,58.17597579956055,63.09548568725586,52.213539123535156,5,9.523809432983398,100,0,0,0,0,60.000003814697266,40,61.904762268066406,23.809524536132813,21.014034271240234,19327352832,1073741824,10797465600,132972544
201,1743221972678,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.234375,57.93391418457031,58.55643081665039,59.360496520996094,63.784610748291016,52.57100296020508,0,0,100,0,0,0,0,25,38.095237731933594,60.000003814697266,60.000003814697266,21.014034271240234,19327352832,1073741824,10797465600,132972544
208,1743221972880,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.234375,57.93391418457031,58.55643081665039,59.360496520996094,63.784610748291016,52.57100296020508,9.523809432983398,5,20,4.761904716491699,0,4.761904716491699,0,60.000003814697266,47.619049072265625,90.47618865966797,61.904762268066406,21.014034271240234,19327352832,1073741824,10796974080,132972544
207,1743221973088,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.234375,57.93391418457031,58.55643081665039,59.360496520996094,63.784610748291016,52.57100296020508,4.761904716491699,4.761904716491699,61.904762268066406,0,4.545454502105713,0,0,15.000000953674316,45,71.42857360839844,85.71428680419922,21.014034271240234,19327352832,1073741824,10796924928,132972544
200,1743221973297,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.234375,57.93391418457031,58.55643081665039,59.360496520996094,63.784610748291016,52.57100296020508,9.523809432983398,4.761904716491699,28.571430206298828,4.761904716491699,0,0,0,59.09090805053711,33.333335876464844,60.000003814697266,100,20.54543113708496,19327352832,1073741824,10796941312,132972544
201,1743221973497,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.234375,57.93391418457031,58.55643081665039,59.360496520996094,63.784610748291016,52.57100296020508,0,5.263157844543457,45,4.761904716491699,0,0,0,60.000003814697266,57.894737243652344,90,21.052631378173828,20.54543113708496,19327352832,1073741824,10796974080,132972544
