Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742947795601,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,30.5,32.43764114379883,32.458396911621094,32.44087600708008,35.16307830810547,34.81266403198242,0,0,NaN,0,0,0,0,0,0,0,0,3.207307815551758,19327352832,1073741824,11421351936,130940928
209,1742947795601,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,30.5,32.43764114379883,32.458396911621094,32.44087600708008,35.16307830810547,34.81266403198242,0,0,0,NaN,NaN,NaN,0,100,NaN,0,NaN,3.207307815551758,19327352832,1073741824,11421351936,130940928
200,1742947795812,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,30.5,32.43764114379883,32.458396911621094,32.44087600708008,35.16307830810547,34.81266403198242,15.789472579956055,22.72727394104004,28.571430206298828,14.285715103149414,9.523809432983398,9.523809432983398,9.523809432983398,45,31.81818199157715,33.333335876464844,20,3.207307815551758,19327352832,1073741824,11421351936,130940928
201,1742947796012,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,35.00580978393555,33.78491973876953,33.748741149902344,37.010074615478516,35.34526062011719,47.619049072265625,42.105262756347656,40,40,40,40,40,100,42.105262756347656,40,40,3.207307815551758,19327352832,1073741824,11421351936,130940928
209,1742947796215,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,35.00580978393555,33.78491973876953,33.748741149902344,37.010074615478516,35.34526062011719,5,5,10,5,5,4.761904716491699,0,90.47618865966797,4.761904716491699,0,0,3.207307815551758,19327352832,1073741824,11421351936,130940928
199,1742947796425,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,35.00580978393555,33.78491973876953,33.748741149902344,37.010074615478516,35.34526062011719,45,45.45454788208008,40,40.90909194946289,42.85714340209961,40,40,100,42.85714340209961,42.85714340209961,45.45454788208008,3.73616361618042,19327352832,1073741824,11434704896,130940928
202,1742947796625,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,35.00580978393555,33.78491973876953,33.748741149902344,37.010074615478516,35.34526062011719,14.285715103149414,0,0,5,0,0,0,100,0,0,0,3.73616361618042,19327352832,1073741824,11394433024,130940928
199,1742947796828,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,35.00580978393555,33.78491973876953,33.748741149902344,37.010074615478516,35.34526062011719,10,10,33.333335876464844,0,20,0,4.761904716491699,14.285715103149414,35,0,25,3.73616361618042,19327352832,1073741824,11397398528,130940928
200,1742947797028,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.25,44.18748474121094,39.04887390136719,39.97661209106445,44.427608489990234,38.036537170410156,0,5,25,4.761904716491699,0,0,0,42.85714340209961,0,0,30.000001907348633,3.73616361618042,19327352832,1073741824,11397201920,130940928
204,1742947797229,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.25,44.18748474121094,39.04887390136719,39.97661209106445,44.427608489990234,38.036537170410156,68.42105102539063,60.000003814697266,71.42857360839844,52.6315803527832,55,52.38095474243164,45,68.42105102539063,68.42105102539063,66.66667175292969,85,3.73616361618042,19327352832,1073741824,11397218304,130940928
202,1742947797434,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.25,44.18748474121094,39.04887390136719,39.97661209106445,44.427608489990234,38.036537170410156,14.285715103149414,5.263157844543457,10,10,5,5.263157844543457,9.523809432983398,10,100,10,9.523809432983398,9.267129898071289,19327352832,1073741824,11397021696,130940928
209,1742947797637,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.25,44.18748474121094,39.04887390136719,39.97661209106445,44.427608489990234,38.036537170410156,5,9.090909004211426,10.526315689086914,4.761904716491699,5,4.761904716491699,0,10,50,10,10,9.267129898071289,19327352832,1073741824,11396431872,130940928
8,1742947797847,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.25,44.18748474121094,39.04887390136719,39.97661209106445,44.427608489990234,38.036537170410156,14.285715103149414,9.523809432983398,0,9.523809432983398,4.545454502105713,0,0,0,0,0,0,9.267129898071289,19327352832,1073741824,11382947840,130940928
