Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743222126015,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.953125,41.89788055419922,42.09265899658203,41.97233200073242,44.508522033691406,44.29098892211914,66.66667175292969,50,0,0,0,0,0,0,0,0,0,3.1835529804229736,19327352832,1073741824,10832773120,132972544
209,1743222126015,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.953125,41.89788055419922,42.09265899658203,41.97233200073242,44.508522033691406,44.29098892211914,NaN,NaN,0,0,NaN,0,0,0,0,0,0,3.1835529804229736,19327352832,1073741824,10832773120,132972544
204,1743222126226,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.953125,41.89788055419922,42.09265899658203,41.97233200073242,44.508522033691406,44.29098892211914,23.809524536132813,19.047618865966797,28.571430206298828,15.000000953674316,14.285715103149414,14.285715103149414,9.523809432983398,30.000001907348633,35,25,35,3.193526268005371,19327352832,1073741824,10832773120,132972544
208,1743222126431,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.953125,41.89788055419922,42.09265899658203,41.97233200073242,44.508522033691406,44.29098892211914,40,36.842105865478516,36.842105865478516,40.90909194946289,38.095237731933594,38.095237731933594,38.095237731933594,38.095237731933594,38.095237731933594,38.095237731933594,100,3.193526268005371,19327352832,1073741824,10832773120,132972544
206,1743222126640,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,42.59375,44.34429168701172,43.68899154663086,45.89738082885742,46.90176773071289,45.26423263549805,9.523809432983398,13.636363983154297,100,5,4.761904716491699,4.761904716491699,4.761904716491699,4.761904716491699,4.761904716491699,5,4.761904716491699,3.193526268005371,19327352832,1073741824,10832773120,132972544
200,1743222126847,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,42.59375,44.34429168701172,43.68899154663086,45.89738082885742,46.90176773071289,45.26423263549805,45,40,66.66667175292969,40,42.105262756347656,40,40,42.85714340209961,75,42.85714340209961,42.85714340209961,3.193526268005371,19327352832,1073741824,10846027776,132972544
208,1743222127048,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,42.59375,44.34429168701172,43.68899154663086,45.89738082885742,46.90176773071289,45.26423263549805,9.523809432983398,15.000000953674316,0,4.761904716491699,0,0,0,0,100,0,0,3.193526268005371,19327352832,1073741824,10820091904,132972544
209,1743222127257,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,42.59375,44.34429168701172,43.68899154663086,45.89738082885742,46.90176773071289,45.26423263549805,10,9.523809432983398,4.761904716491699,4.761904716491699,18.18181800842285,4.545454502105713,0,0,52.38095474243164,0,47.619049072265625,3.6385505199432373,19327352832,1073741824,10820091904,132972544
204,1743222127467,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,42.59375,44.34429168701172,43.68899154663086,45.89738082885742,46.90176773071289,45.26423263549805,14.285715103149414,10,4.761904716491699,5,14.285715103149414,5,4.761904716491699,9.523809432983398,71.42857360839844,5,33.333335876464844,3.6385505199432373,19327352832,1073741824,10820091904,132972544
200,1743222127672,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,47.40625,48.97724533081055,53.49842071533203,47.760986328125,62.09636688232422,48.717933654785156,73.68421173095703,70,80.95238494873047,65,60.000003814697266,60.000003814697266,57.142860412597656,80.95238494873047,80.95238494873047,77.2727279663086,80,3.6385505199432373,19327352832,1073741824,10820091904,132972544
204,1743222127872,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,47.40625,48.97724533081055,53.49842071533203,47.760986328125,62.09636688232422,48.717933654785156,65,63.15789031982422,75,60.000003814697266,57.894737243652344,55,52.6315803527832,75,75,75,70,3.6385505199432373,19327352832,1073741824,10824155136,132972544
200,1743222128077,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,47.40625,48.97724533081055,53.49842071533203,47.760986328125,62.09636688232422,48.717933654785156,66.66667175292969,61.904762268066406,78.94737243652344,60.000003814697266,57.142860412597656,57.142860412597656,57.142860412597656,75,75,73.68421173095703,71.42857360839844,3.6385505199432373,19327352832,1073741824,10824007680,132972544
202,1743222128278,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,47.40625,48.97724533081055,53.49842071533203,47.760986328125,62.09636688232422,48.717933654785156,68.42105102539063,63.15789031982422,72.7272720336914,60.000003814697266,57.894737243652344,57.894737243652344,52.6315803527832,73.68421173095703,73.68421173095703,71.42857360839844,75,9.673843383789063,19327352832,1073741824,10823811072,132972544
202,1743222128481,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,47.40625,48.97724533081055,53.49842071533203,47.760986328125,62.09636688232422,48.717933654785156,63.15789031982422,61.904762268066406,75,57.894737243652344,60.000003814697266,55,57.142860412597656,76.19047546386719,71.42857360839844,75,75,9.673843383789063,19327352832,1073741824,10821959680,132972544
208,1743222128683,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.125,56.95993423461914,55.354087829589844,55.58757019042969,61.96931457519531,50.96269226074219,65,63.15789031982422,75,60.000003814697266,55,55,52.6315803527832,70,75,75,70,9.673843383789063,19327352832,1073741824,10821763072,132972544
207,1743222128892,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.125,56.95993423461914,55.354087829589844,55.58757019042969,61.96931457519531,50.96269226074219,71.42857360839844,61.904762268066406,78.94737243652344,60.000003814697266,61.904762268066406,60.000003814697266,57.142860412597656,76.19047546386719,75,75,71.42857360839844,9.673843383789063,19327352832,1073741824,10821664768,132972544
199,1743222129099,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.125,56.95993423461914,55.354087829589844,55.58757019042969,61.96931457519531,50.96269226074219,65,65,72.7272720336914,59.09090805053711,57.142860412597656,57.142860412597656,52.38095474243164,75,72.7272720336914,72.7272720336914,76.19047546386719,9.673843383789063,19327352832,1073741824,10821500928,132972544
205,1743222129299,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.125,56.95993423461914,55.354087829589844,55.58757019042969,61.96931457519531,50.96269226074219,65,60.000003814697266,75,61.11111068725586,57.894737243652344,52.6315803527832,57.894737243652344,75,75,75,73.68421173095703,16.24692153930664,19327352832,1073741824,10821484544,132972544
204,1743222129505,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.125,56.95993423461914,55.354087829589844,55.58757019042969,61.96931457519531,50.96269226074219,65,63.15789031982422,75,57.142860412597656,60.000003814697266,57.142860412597656,55,75,70,75,70,16.24692153930664,19327352832,1073741824,10821304320,132972544
