Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743220191326,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.703125,41.178348541259766,41.41482925415039,41.4328727722168,43.942840576171875,44.00199890136719,0,0,0,0,0,0,0,0,0,0,0,3.3780198097229004,19327352832,1073741824,10697506816,132972544
209,1743220191326,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.703125,41.178348541259766,41.41482925415039,41.4328727722168,43.942840576171875,44.00199890136719,0,0,0,NaN,100,NaN,NaN,0,NaN,NaN,0,3.3780198097229004,19327352832,1073741824,10697506816,132972544
203,1743220191536,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.703125,41.178348541259766,41.41482925415039,41.4328727722168,43.942840576171875,44.00199890136719,23.809524536132813,20,28.571430206298828,13.636363983154297,10,9.090909004211426,4.761904716491699,20,28.571430206298828,28.571430206298828,28.571430206298828,3.3780198097229004,19327352832,1073741824,10697506816,132972544
209,1743220191741,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,41.390625,42.51554489135742,42.23890686035156,43.94268798828125,45.17017364501953,44.261207580566406,5,5,100,0,0,0,0,4.761904716491699,33.333335876464844,33.333335876464844,33.333335876464844,3.3780198097229004,19327352832,1073741824,10710892544,132972544
200,1743220191951,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,41.390625,42.51554489135742,42.23890686035156,43.94268798828125,45.17017364501953,44.261207580566406,0,0,100,0,0,0,0,0,9.523809432983398,10,9.523809432983398,3.3780198097229004,19327352832,1073741824,10710777856,132972544
203,1743220192152,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,41.390625,42.51554489135742,42.23890686035156,43.94268798828125,45.17017364501953,44.261207580566406,9.523809432983398,10,100,4.761904716491699,0,0,0,38.095237731933594,45,4.761904716491699,45,3.3780198097229004,19327352832,1073741824,10710777856,132972544
208,1743220192356,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,41.390625,42.51554489135742,42.23890686035156,43.94268798828125,45.17017364501953,44.261207580566406,10,9.090909004211426,9.523809432983398,4.761904716491699,4.761904716491699,0,0,0,0,90,0,3.610379695892334,19327352832,1073741824,10710777856,132972544
205,1743220192564,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,41.390625,42.51554489135742,42.23890686035156,43.94268798828125,45.17017364501953,44.261207580566406,14.285715103149414,10,0,20,0,0,4.761904716491699,0,0,100,0,3.610379695892334,19327352832,1073741824,10710777856,132972544
204,1743220192771,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,41.875,45.757389068603516,44.35014724731445,48.94554138183594,47.451316833496094,45.67999267578125,9.523809432983398,0,10,4.761904716491699,4.761904716491699,0,0,10,9.523809432983398,100,0,3.610379695892334,19327352832,1073741824,10683711488,132972544
209,1743220192976,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,41.875,45.757389068603516,44.35014724731445,48.94554138183594,47.451316833496094,45.67999267578125,0,9.523809432983398,60.000003814697266,0,0,4.761904716491699,0,38.095237731933594,60.000003814697266,100,23.809524536132813,3.610379695892334,19327352832,1073741824,10683318272,132972544
