Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742947295338,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,31.46875,32.80192947387695,32.93708038330078,32.72428894042969,35.53302001953125,35.042415618896484,NaN,0,0,0,0,0,0,0,0,0,0,3.464505434036255,19327352832,1073741824,11371855872,130940928
209,1742947295338,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,31.46875,32.80192947387695,32.93708038330078,32.72428894042969,35.53302001953125,35.042415618896484,0,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,0,3.464505434036255,19327352832,1073741824,11371855872,130940928
202,1742947295549,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,31.46875,32.80192947387695,32.93708038330078,32.72428894042969,35.53302001953125,35.042415618896484,22.72727394104004,14.285715103149414,19.047618865966797,9.523809432983398,9.523809432983398,0,9.090909004211426,40,23.809524536132813,25,28.571430206298828,3.136752128601074,19327352832,1073741824,11371855872,130940928
200,1742947295752,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,31.46875,32.80192947387695,32.93708038330078,32.72428894042969,35.53302001953125,35.042415618896484,36.842105865478516,42.85714340209961,40,40,38.095237731933594,40,35,100,38.095237731933594,40.90909194946289,40,3.136752128601074,19327352832,1073741824,11371855872,130940928
202,1742947295953,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.375,38.02177810668945,35.22677230834961,35.297142028808594,38.98500442504883,36.23032760620117,10,5,5,5,5,5,5,90,5,5,10,3.136752128601074,19327352832,1073741824,11371855872,130940928
201,1742947296157,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.375,38.02177810668945,35.22677230834961,35.297142028808594,38.98500442504883,36.23032760620117,45,45,42.85714340209961,45.45454788208008,40,45.45454788208008,45,100,45,45,45,3.136752128601074,19327352832,1073741824,11384995840,130940928
208,1742947296359,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.375,38.02177810668945,35.22677230834961,35.297142028808594,38.98500442504883,36.23032760620117,5.263157844543457,0,0,0,0,0,0,100,0,0,0,3.136752128601074,19327352832,1073741824,11325177856,130940928
207,1742947296568,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.375,38.02177810668945,35.22677230834961,35.297142028808594,38.98500442504883,36.23032760620117,10,14.285715103149414,0,15.000000953674316,4.761904716491699,0,0,4.761904716491699,0,0,100,4.172242641448975,19327352832,1073741824,11329060864,130940928
209,1742947296775,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.375,38.02177810668945,35.22677230834961,35.297142028808594,38.98500442504883,36.23032760620117,13.636363983154297,5,4.761904716491699,14.285715103149414,0,4.761904716491699,9.090909004211426,4.761904716491699,4.761904716491699,4.761904716491699,95.45454406738281,4.172242641448975,19327352832,1073741824,11329601536,130940928
203,1742947296986,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.53125,42.39058303833008,38.84990310668945,38.85547637939453,43.293113708496094,38.512691497802734,61.904762268066406,61.904762268066406,66.66667175292969,52.38095474243164,57.142860412597656,52.38095474243164,45,72.7272720336914,66.66667175292969,85.71428680419922,70,4.172242641448975,19327352832,1073741824,11329355776,130940928
205,1742947297190,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.53125,42.39058303833008,38.84990310668945,38.85547637939453,43.293113708496094,38.512691497802734,0,0,0,0,0,0,0,0,0,100,0,4.172242641448975,19327352832,1073741824,11329306624,130940928
7,1742947297396,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.53125,42.39058303833008,38.84990310668945,38.85547637939453,43.293113708496094,38.512691497802734,14.285715103149414,9.523809432983398,14.285715103149414,5,0,0,0,15.000000953674316,19.047618865966797,20,15.000000953674316,4.172242641448975,19327352832,1073741824,11326767104,130940928
