Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743187940221,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,52.1875,54.1647834777832,54.32086181640625,54.2022705078125,56.55843734741211,56.69013214111328,NaN,NaN,NaN,0,0,0,NaN,0,NaN,0,0,3.2380523681640625,19327352832,1073741824,10555539456,141361152
201,1743187940221,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,52.1875,54.1647834777832,54.32086181640625,54.2022705078125,56.55843734741211,56.69013214111328,NaN,50,0,NaN,NaN,NaN,0,NaN,0,NaN,NaN,3.2380523681640625,19327352832,1073741824,10555850752,141361152
207,1743187940422,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,52.671875,54.23292541503906,54.359214782714844,54.1992073059082,56.71028137207031,56.68794631958008,20,20,26.3157901763916,19.047618865966797,10,10,5.263157844543457,26.3157901763916,26.3157901763916,25,26.3157901763916,3.2380523681640625,19327352832,1073741824,10568908800,141361152
203,1743187940631,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,52.671875,54.23292541503906,54.359214782714844,54.1992073059082,56.71028137207031,56.68794631958008,85,85,85.71428680419922,85,80.95238494873047,80.95238494873047,81.81818389892578,86.36363983154297,95.23809814453125,80.95238494873047,81.81818389892578,3.2380523681640625,19327352832,1073741824,10568908800,141361152
203,1743187940835,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,52.671875,54.23292541503906,54.359214782714844,54.1992073059082,56.71028137207031,56.68794631958008,9.523809432983398,4.761904716491699,0,0,0,0,0,100,0,0,0,3.447812080383301,19327352832,1073741824,10568908800,141361152
206,1743187941038,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,52.671875,54.23292541503906,54.359214782714844,54.1992073059082,56.71028137207031,56.68794631958008,40,42.105262756347656,47.619049072265625,42.85714340209961,38.095237731933594,36.842105865478516,38.095237731933594,50,42.85714340209961,45,94.73684692382813,3.447812080383301,19327352832,1073741824,10568908800,141361152
206,1743187941245,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,60.046875,62.63493347167969,60.59943389892578,60.464508056640625,66.56328582763672,59.31733322143555,100,100,100,100,100,100,100,100,100,100,100,3.447812080383301,19327352832,1073741824,10484924416,141361152
209,1743187941452,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,60.046875,62.63493347167969,60.59943389892578,60.464508056640625,66.56328582763672,59.31733322143555,100,95.23809814453125,100,100,100,95.23809814453125,100,100,100,100,100,3.447812080383301,19327352832,1073741824,10484465664,141361152
201,1743187941662,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,60.046875,62.63493347167969,60.59943389892578,60.464508056640625,66.56328582763672,59.31733322143555,100,100,100,100,100,100,95.45454406738281,100,100,100,100,3.447812080383301,19327352832,1073741824,10487676928,141361152
209,1743187941864,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,60.046875,62.63493347167969,60.59943389892578,60.464508056640625,66.56328582763672,59.31733322143555,100,100,100,95.23809814453125,100,100,100,100,100,100,100,8.645960807800293,19327352832,1073741824,10487709696,141361152
209,1743187942074,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,60.046875,62.63493347167969,60.59943389892578,60.464508056640625,66.56328582763672,59.31733322143555,95.23809814453125,100,100,100,100,95.45454406738281,100,100,100,100,100,8.645960807800293,19327352832,1073741824,10488119296,141361152
201,1743187942284,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,63.359375,73.8524398803711,71.86418914794922,71.48493194580078,82.14674377441406,65.37837219238281,100,95.23809814453125,100,100,100,100,100,100,100,100,100,8.645960807800293,19327352832,1073741824,10487922688,141361152
200,1743187942486,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,63.359375,73.8524398803711,71.86418914794922,71.48493194580078,82.14674377441406,65.37837219238281,100,100,100,95.23809814453125,95.23809814453125,100,95.23809814453125,100,100,100,100,8.645960807800293,19327352832,1073741824,10487726080,141361152
203,1743187942686,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,63.359375,73.8524398803711,71.86418914794922,71.48493194580078,82.14674377441406,65.37837219238281,100,100,100,100,100,100,100,100,100,100,100,8.645960807800293,19327352832,1073741824,10487676928,141361152
207,1743187942890,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,63.359375,73.8524398803711,71.86418914794922,71.48493194580078,82.14674377441406,65.37837219238281,100,100,100,100,100,95.45454406738281,100,100,100,100,100,31.79147720336914,19327352832,1073741824,10486841344,141361152
