Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743204943288,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,45.25,47.21335983276367,47.390625,47.16508483886719,49.81542205810547,49.671321868896484,NaN,50,0,0,0,0,0,0,0,0,0,6.258167266845703,19327352832,1073741824,10570481664,141361152
200,1743204943289,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,45.25,47.21335983276367,47.390625,47.16508483886719,49.81542205810547,49.671321868896484,50,NaN,NaN,100,50,0,NaN,0,0,0,NaN,6.258167266845703,19327352832,1073741824,10573660160,141361152
204,1743204943490,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,45.25,47.21335983276367,47.390625,47.16508483886719,49.81542205810547,49.671321868896484,23.076923370361328,25,38.095237731933594,20,10.526315689086914,10,10,30.000001907348633,30.000001907348633,25,30.000001907348633,6.235786437988281,19327352832,1073741824,10573660160,141361152
200,1743204943695,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,45.25,47.21335983276367,47.390625,47.16508483886719,49.81542205810547,49.671321868896484,10,5,80,5,4.761904716491699,0,0,60.000003814697266,85,50,80.95238494873047,6.235786437988281,19327352832,1073741824,10584686592,141361152
204,1743204943896,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.46875,49.79816818237305,51.65602493286133,49.19794845581055,56.714908599853516,50.997989654541016,5,5,0,0,0,0,0,30.000001907348633,66.66667175292969,0,0,6.235786437988281,19327352832,1073741824,10584686592,141361152
204,1743204944101,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.46875,49.79816818237305,51.65602493286133,49.19794845581055,56.714908599853516,50.997989654541016,80,76.19047546386719,80,77.2727279663086,75,76.19047546386719,70,100,80,85,85,6.235786437988281,19327352832,1073741824,10584768512,141361152
200,1743204944306,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.46875,49.79816818237305,51.65602493286133,49.19794845581055,56.714908599853516,50.997989654541016,100,100,100,100,100,95,100,100,100,100,100,6.235786437988281,19327352832,1073741824,10584768512,141361152
199,1743204944507,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.46875,49.79816818237305,51.65602493286133,49.19794845581055,56.714908599853516,50.997989654541016,100,100,100,100,100,100,100,100,100,100,100,6.742786407470703,19327352832,1073741824,10584768512,141361152
202,1743204944707,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.46875,49.79816818237305,51.65602493286133,49.19794845581055,56.714908599853516,50.997989654541016,100,100,100,100,100,100,100,100,100,100,100,6.742786407470703,19327352832,1073741824,10500374528,141361152
203,1743204944910,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,54.8125,61.25342559814453,59.326175689697266,59.36506271362305,67.53244018554688,55.624908447265625,95.45454406738281,95.45454406738281,100,95,95,95.23809814453125,95.23809814453125,100,100,100,100,6.742786407470703,19327352832,1073741824,10500096000,141361152
