Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742928627762,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.65625,35.354732513427734,35.33590316772461,35.29331970214844,37.548763275146484,37.64910888671875,0,0,0,0,0,0,0,0,0,0,0,4.470004081726074,19327352832,1073741824,8377188352,266338304
204,1742928627762,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.65625,35.354732513427734,35.33590316772461,35.29331970214844,37.548763275146484,37.64910888671875,NaN,NaN,NaN,100,0,0,0,NaN,NaN,0,NaN,4.470004081726074,19327352832,1073741824,8377188352,266338304
202,1742928627967,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.65625,35.354732513427734,35.33590316772461,35.29331970214844,37.548763275146484,37.64910888671875,20,15.000000953674316,25,10.526315689086914,10,5,5,23.809524536132813,20,35,25,4.470004081726074,19327352832,1073741824,8377188352,266338304
204,1742928628170,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.65625,35.354732513427734,35.33590316772461,35.29331970214844,37.548763275146484,37.64910888671875,47.619049072265625,42.85714340209961,55,42.85714340209961,36.842105865478516,42.105262756347656,36.842105865478516,45,47.619049072265625,60.000003814697266,52.6315803527832,4.444109916687012,19327352832,1073741824,8377188352,266338304
200,1742928628375,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.65625,35.354732513427734,35.33590316772461,35.29331970214844,37.548763275146484,37.64910888671875,42.105262756347656,45,47.619049072265625,42.85714340209961,42.85714340209961,40.90909194946289,42.85714340209961,47.619049072265625,42.85714340209961,52.38095474243164,61.904762268066406,4.444109916687012,19327352832,1073741824,8377188352,266338304
202,1742928628576,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.65625,35.354732513427734,35.33590316772461,35.29331970214844,37.548763275146484,37.64910888671875,10,0,15.789472579956055,0,4.761904716491699,0,0,0,0,25,23.809524536132813,4.444109916687012,19327352832,1073741824,8621260800,266338304
201,1742928628780,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.828125,38.181114196777344,37.737728118896484,38.55625534057617,41.00330352783203,39.16465377807617,4.761904716491699,4.761904716491699,23.809524536132813,5,0,0,0,5,0,23.809524536132813,15.789472579956055,4.444109916687012,19327352832,1073741824,8727232512,266338304
204,1742928628982,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.828125,38.181114196777344,37.737728118896484,38.55625534057617,41.00330352783203,39.16465377807617,5.263157844543457,5,15.000000953674316,0,0,0,0,0,0,65,10,4.444109916687012,19327352832,1073741824,8791261184,266338304
202,1742928629187,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.828125,38.181114196777344,37.737728118896484,38.55625534057617,41.00330352783203,39.16465377807617,90,85,0,85.71428680419922,89.47368621826172,95,85,0,0,100,0,7.737971782684326,19327352832,1073741824,8922365952,266338304
204,1742928629390,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.828125,38.181114196777344,37.737728118896484,38.55625534057617,41.00330352783203,39.16465377807617,25,35,19.047618865966797,10,36.3636360168457,25,4.761904716491699,15.000000953674316,14.285715103149414,31.57894515991211,15.000000953674316,7.737971782684326,19327352832,1073741824,8926461952,266338304
6,1742928629595,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.828125,38.181114196777344,37.737728118896484,38.55625534057617,41.00330352783203,39.16465377807617,23.809524536132813,25,0,0,80,5,20,0,0,0,0,7.737971782684326,19327352832,1073741824,8914337792,266338304
