Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743204573613,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,29.03125,30.693334579467773,30.876707077026367,30.712890625,33.4425163269043,33.04365158081055,0,0,0,0,0,0,0,0,0,0,0,4.552958965301514,19327352832,1073741824,10670391296,141361152
204,1743204573613,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,29.03125,30.693334579467773,30.876707077026367,30.712890625,33.4425163269043,33.04365158081055,NaN,50,0,NaN,0,50,0,0,0,0,NaN,4.552958965301514,19327352832,1073741824,10673569792,141361152
204,1743204573818,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,29.03125,30.693334579467773,30.876707077026367,30.712890625,33.4425163269043,33.04365158081055,28.571430206298828,20,30.000001907348633,20,15.000000953674316,5.263157844543457,5.263157844543457,30.000001907348633,30.000001907348633,33.333335876464844,20,4.552958965301514,19327352832,1073741824,10683711488,141361152
200,1743204574023,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,30.734375,31.439815521240234,31.422225952148438,31.408395767211914,34.30295944213867,33.355560302734375,85,85,80,85,80,85,80.95238494873047,95.23809814453125,85,85,90.47618865966797,4.552958965301514,19327352832,1073741824,10683957248,141361152
204,1743204574224,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,30.734375,31.439815521240234,31.422225952148438,31.408395767211914,34.30295944213867,33.355560302734375,26.3157901763916,15.789472579956055,4.761904716491699,10,9.523809432983398,9.523809432983398,0,0,100,0,0,4.552958965301514,19327352832,1073741824,10683957248,141361152
204,1743204574429,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,30.734375,31.439815521240234,31.422225952148438,31.408395767211914,34.30295944213867,33.355560302734375,45,45.45454788208008,35,40,40,35,35,38.095237731933594,95,40,38.095237731933594,5.173337936401367,19327352832,1073741824,10683957248,141361152
200,1743204574634,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,30.734375,31.439815521240234,31.422225952148438,31.408395767211914,34.30295944213867,33.355560302734375,100,100,100,95.23809814453125,95,100,95.23809814453125,100,100,95.23809814453125,100,5.173337936401367,19327352832,1073741824,10684153856,141361152
203,1743204574834,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,30.734375,31.439815521240234,31.422225952148438,31.408395767211914,34.30295944213867,33.355560302734375,100,100,100,100,100,100,100,100,100,100,100,5.173337936401367,19327352832,1073741824,10684104704,141361152
203,1743204575038,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.984375,42.194271087646484,44.127532958984375,40.111915588378906,53.4785041809082,38.77690124511719,95.23809814453125,100,100,100,100,100,100,100,100,100,100,5.173337936401367,19327352832,1073741824,10689708032,141361152
204,1743204575242,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.984375,42.194271087646484,44.127532958984375,40.111915588378906,53.4785041809082,38.77690124511719,100,100,100,100,100,100,100,100,100,100,100,5.173337936401367,19327352832,1073741824,10689937408,141361152
