Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742928501887,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.65625,35.40129089355469,35.368892669677734,35.35560607910156,37.659637451171875,37.733829498291016,NaN,0,0,0,0,0,0,0,0,0,0,4.527523994445801,19327352832,1073741824,6147719168,266338304
204,1742928501887,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.65625,35.40129089355469,35.368892669677734,35.35560607910156,37.659637451171875,37.733829498291016,0,NaN,0,100,NaN,NaN,0,0,0,0,0,4.527523994445801,19327352832,1073741824,6150782976,266338304
199,1742928502093,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.65625,35.40129089355469,35.368892669677734,35.35560607910156,37.659637451171875,37.733829498291016,35,23.809524536132813,40,10.526315689086914,5,9.090909004211426,5,25,5,0,15.000000953674316,4.527523994445801,19327352832,1073741824,6508806144,266338304
200,1742928502293,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.65625,35.40129089355469,35.368892669677734,35.35560607910156,37.659637451171875,37.733829498291016,5,5.263157844543457,38.095237731933594,4.761904716491699,0,0,0,15.000000953674316,5,50,5.263157844543457,4.493607044219971,19327352832,1073741824,6508806144,266338304
204,1742928502494,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.65625,35.40129089355469,35.368892669677734,35.35560607910156,37.659637451171875,37.733829498291016,50,45,52.6315803527832,45,50,42.105262756347656,42.105262756347656,52.6315803527832,55,50,65,4.493607044219971,19327352832,1073741824,6508806144,266338304
204,1742928502699,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.1875,39.769813537597656,38.88096237182617,39.83005142211914,43.033382415771484,39.53171920776367,76.19047546386719,80.95238494873047,47.619049072265625,70,75,70,70,33.333335876464844,30.000001907348633,33.333335876464844,42.85714340209961,4.493607044219971,19327352832,1073741824,6995099648,266338304
204,1742928502905,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.1875,39.769813537597656,38.88096237182617,39.83005142211914,43.033382415771484,39.53171920776367,5.263157844543457,5,36.842105865478516,0,0,4.761904716491699,9.090909004211426,47.619049072265625,23.809524536132813,20,35,4.493607044219971,19327352832,1073741824,7382827008,266338304
200,1742928503110,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.1875,39.769813537597656,38.88096237182617,39.83005142211914,43.033382415771484,39.53171920776367,14.285715103149414,5,14.285715103149414,5,4.761904716491699,4.761904716491699,0,5.263157844543457,9.523809432983398,4.761904716491699,10,4.493607044219971,19327352832,1073741824,7388184576,266338304
201,1742928503311,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.1875,39.769813537597656,38.88096237182617,39.83005142211914,43.033382415771484,39.53171920776367,5,9.523809432983398,10.526315689086914,0,4.761904716491699,0,0,19.047618865966797,10.526315689086914,10,15.000000953674316,6.146023273468018,19327352832,1073741824,7395213312,266338304
202,1742928503513,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.1875,39.769813537597656,38.88096237182617,39.83005142211914,43.033382415771484,39.53171920776367,20,15.789472579956055,50,14.285715103149414,5.263157844543457,10.526315689086914,0,47.36842346191406,45,40,47.36842346191406,6.146023273468018,19327352832,1073741824,7523762176,266338304
