Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743205866175,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.71875,53.397396087646484,53.663570404052734,53.381980895996094,55.679893493652344,55.98040771484375,0,50,0,0,100,0,0,0,0,0,0,6.894969940185547,19327352832,1073741824,10801217536,132972544
207,1743205866175,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.71875,53.397396087646484,53.663570404052734,53.381980895996094,55.679893493652344,55.98040771484375,50,NaN,0,NaN,100,100,0,NaN,0,NaN,0,6.894969940185547,19327352832,1073741824,10804330496,132972544
199,1743205866382,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.71875,53.397396087646484,53.663570404052734,53.381980895996094,55.679893493652344,55.98040771484375,60.000003814697266,45,30.000001907348633,33.333335876464844,25,25,36.842105865478516,40.90909194946289,35,38.095237731933594,42.85714340209961,6.834873199462891,19327352832,1073741824,10777214976,132972544
204,1743205866583,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.71875,53.397396087646484,53.663570404052734,53.381980895996094,55.679893493652344,55.98040771484375,89.47368621826172,75,75,85.71428680419922,80.95238494873047,75,76.19047546386719,100,75,80,75,6.834873199462891,19327352832,1073741824,10777214976,132972544
208,1743205866787,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.71875,53.397396087646484,53.663570404052734,53.381980895996094,55.679893493652344,55.98040771484375,85.71428680419922,14.285715103149414,0,0,5.263157844543457,0,0,100,0,0,0,6.834873199462891,19327352832,1073741824,10777231360,132972544
201,1743205866996,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,56.484375,58.33277893066406,56.62586975097656,56.02405548095703,60.77415466308594,57.2176513671875,90.47618865966797,45,45.45454788208008,40,38.095237731933594,40.90909194946289,42.85714340209961,42.85714340209961,95.23809814453125,42.85714340209961,38.095237731933594,6.834873199462891,19327352832,1073741824,10777329664,132972544
208,1743205867198,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,56.484375,58.33277893066406,56.62586975097656,56.02405548095703,60.77415466308594,57.2176513671875,100,100,100,100,100,100,100,100,100,100,100,6.834873199462891,19327352832,1073741824,10691395584,132972544
201,1743205867407,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,56.484375,58.33277893066406,56.62586975097656,56.02405548095703,60.77415466308594,57.2176513671875,100,100,100,100,100,100,100,100,100,100,100,6.760334014892578,19327352832,1073741824,10695000064,132972544
208,1743205867609,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,56.484375,58.33277893066406,56.62586975097656,56.02405548095703,60.77415466308594,57.2176513671875,100,100,100,100,100,100,100,100,100,100,100,6.760334014892578,19327352832,1073741824,10694737920,132972544
200,1743205867817,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,56.484375,58.33277893066406,56.62586975097656,56.02405548095703,60.77415466308594,57.2176513671875,100,100,100,100,100,100,100,100,100,100,100,6.760334014892578,19327352832,1073741824,10694377472,132972544
204,1743205868018,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,63.359375,71.59415435791016,70.18346405029297,69.37028503417969,80.85791015625,63.69155502319336,100,100,100,100,100,100,100,100,100,100,100,6.760334014892578,19327352832,1073741824,10694033408,132972544
209,1743205868222,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,63.359375,71.59415435791016,70.18346405029297,69.37028503417969,80.85791015625,63.69155502319336,100,100,100,100,100,100,100,100,100,100,100,6.760334014892578,19327352832,1073741824,10693722112,132972544
206,1743205868432,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,63.359375,71.59415435791016,70.18346405029297,69.37028503417969,80.85791015625,63.69155502319336,100,100,100,100,100,100,100,100,100,100,100,12.334976196289063,19327352832,1073741824,10692902912,132972544
202,1743205868639,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,63.359375,71.59415435791016,70.18346405029297,69.37028503417969,80.85791015625,63.69155502319336,100,100,100,100,100,100,100,100,100,100,100,12.334976196289063,19327352832,1073741824,10630774784,132972544
201,1743205868842,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,63.359375,74.5570068359375,72.49410247802734,72.20643615722656,80.85791015625,63.69155502319336,100,100,100,100,100,100,100,100,100,100,100,12.334976196289063,19327352832,1073741824,10636754944,132972544
209,1743205869043,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,63.59375,74.5570068359375,72.49410247802734,72.20643615722656,82.68006896972656,65.84080505371094,100,100,100,100,100,100,100,100,100,100,100,12.334976196289063,19327352832,1073741824,10645127168,132972544
203,1743205869253,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,63.59375,74.5570068359375,72.49410247802734,72.20643615722656,82.68006896972656,65.84080505371094,100,100,100,100,100,100,100,100,100,100,100,12.334976196289063,19327352832,1073741824,10648649728,132972544
206,1743205869457,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,63.59375,74.5570068359375,72.49410247802734,72.20643615722656,82.68006896972656,65.84080505371094,100,100,100,100,100,100,100,100,100,100,100,36.18444061279297,19327352832,1073741824,10648649728,132972544
208,1743205869663,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,63.59375,74.5570068359375,72.49410247802734,72.20643615722656,82.68006896972656,65.84080505371094,100,100,100,100,100,100,100,100,100,100,100,36.18444061279297,19327352832,1073741824,10656186368,132972544
205,1743205869872,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,65.015625,76.03417205810547,73.8621597290039,73.44966125488281,84.45435333251953,66.87378692626953,100,100,100,100,100,100,100,100,100,100,100,36.18444061279297,19327352832,1073741824,10642341888,132972544
