Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743186016373,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,52.4375,54.25422668457031,54.356014251708984,54.25267028808594,56.62700653076172,56.70498275756836,0,0,0,0,0,0,0,0,0,0,0,3.31911039352417,19327352832,1073741824,10617323520,141361152
209,1743186016374,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,52.4375,54.25422668457031,54.356014251708984,54.25267028808594,56.62700653076172,56.70498275756836,NaN,NaN,NaN,0,0,0,0,NaN,NaN,0,0,3.31911039352417,19327352832,1073741824,10620485632,141361152
204,1743186016584,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,52.4375,54.25422668457031,54.356014251708984,54.25267028808594,56.62700653076172,56.70498275756836,31.81818199157715,19.047618865966797,33.333335876464844,14.285715103149414,14.285715103149414,9.523809432983398,5,28.571430206298828,27.272727966308594,31.57894515991211,35,3.31911039352417,19327352832,1073741824,10638917632,141361152
202,1743186016789,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,52.4375,54.25422668457031,54.356014251708984,54.25267028808594,56.62700653076172,56.70498275756836,15.000000953674316,9.523809432983398,47.619049072265625,5,0,0,0,75,70,63.6363639831543,75,3.330658435821533,19327352832,1073741824,10638966784,141361152
208,1743186016992,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,52.4375,54.25422668457031,54.356014251708984,54.25267028808594,56.62700653076172,56.70498275756836,10,15.000000953674316,0,5,0,0,0,0,85,0,0,3.330658435821533,19327352832,1073741824,10639147008,141361152
199,1743186017200,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,52.4375,54.25422668457031,54.356014251708984,54.25267028808594,56.62700653076172,56.70498275756836,47.619049072265625,42.85714340209961,42.85714340209961,40.90909194946289,35,33.333335876464844,33.333335876464844,45,42.85714340209961,95.23809814453125,42.85714340209961,3.330658435821533,19327352832,1073741824,10639147008,141361152
209,1743186017400,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,57.90625,58.1645393371582,60.019229888916016,57.23900604248047,65.74476623535156,58.71357727050781,100,100,100,100,95.45454406738281,100,100,100,100,100,100,3.330658435821533,19327352832,1073741824,10546380800,141361152
202,1743186017610,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,57.90625,58.1645393371582,60.019229888916016,57.23900604248047,65.74476623535156,58.71357727050781,100,100,100,100,100,100,100,100,100,100,100,3.330658435821533,19327352832,1073741824,10546184192,141361152
202,1743186017813,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,57.90625,58.1645393371582,60.019229888916016,57.23900604248047,65.74476623535156,58.71357727050781,95.23809814453125,100,100,100,100,100,95.45454406738281,100,100,100,100,7.8617706298828125,19327352832,1073741824,10546036736,141361152
202,1743186018016,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,57.90625,58.1645393371582,60.019229888916016,57.23900604248047,65.74476623535156,58.71357727050781,100,95.23809814453125,100,100,100,95.23809814453125,100,100,100,100,100,7.8617706298828125,19327352832,1073741824,10549673984,141361152
