Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742928565537,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.65625,35.38759994506836,35.40631103515625,35.325660705566406,37.729270935058594,37.77644348144531,NaN,0,0,0,0,0,0,0,0,0,0,4.521820068359375,19327352832,1073741824,7965278208,266338304
202,1742928565537,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.65625,35.38759994506836,35.40631103515625,35.325660705566406,37.729270935058594,37.77644348144531,0,0,0,100,0,NaN,0,0,0,NaN,0,4.521820068359375,19327352832,1073741824,7968260096,266338304
200,1742928565741,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.859375,35.759666442871094,35.74909973144531,35.61005401611328,38.241355895996094,37.90475845336914,25,19.047618865966797,21.052631378173828,19.047618865966797,10,9.523809432983398,10,30.000001907348633,28.571430206298828,30.000001907348633,33.333335876464844,4.521820068359375,19327352832,1073741824,8011776000,266338304
200,1742928565942,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.859375,35.759666442871094,35.74909973144531,35.61005401611328,38.241355895996094,37.90475845336914,45,42.105262756347656,45,36.842105865478516,40,42.105262756347656,36.842105865478516,60.000003814697266,42.105262756347656,55,55,4.521820068359375,19327352832,1073741824,8043757568,266338304
200,1742928566143,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.859375,35.759666442871094,35.74909973144531,35.61005401611328,38.241355895996094,37.90475845336914,45,47.619049072265625,45,45,40,40,35,52.6315803527832,47.619049072265625,61.904762268066406,47.36842346191406,4.59524393081665,19327352832,1073741824,8043757568,266338304
201,1742928566344,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.859375,35.759666442871094,35.74909973144531,35.61005401611328,38.241355895996094,37.90475845336914,5.263157844543457,0,0,4.761904716491699,0,0,0,19.047618865966797,0,15.789472579956055,40,4.59524393081665,19327352832,1073741824,8200847360,266338304
201,1742928566547,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.859375,35.759666442871094,35.74909973144531,35.61005401611328,38.241355895996094,37.90475845336914,5,0,0,0,0,0,0,31.57894515991211,0,23.809524536132813,14.285715103149414,4.59524393081665,19327352832,1073741824,8297562112,266338304
200,1742928566749,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,36.3125,40.22239685058594,38.790225982666016,38.563194274902344,42.4671630859375,39.8391227722168,15.000000953674316,14.285715103149414,0,25,5,4.761904716491699,4.761904716491699,61.904762268066406,0,10.526315689086914,10,4.59524393081665,19327352832,1073741824,8297562112,266338304
204,1742928566950,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,36.3125,40.22239685058594,38.790225982666016,38.563194274902344,42.4671630859375,39.8391227722168,5,5,0,0,0,0,0,15.000000953674316,0,85,0,4.59524393081665,19327352832,1073741824,8297562112,266338304
202,1742928567154,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,36.3125,40.22239685058594,38.790225982666016,38.563194274902344,42.4671630859375,39.8391227722168,9.523809432983398,5,10,4.761904716491699,4.761904716491699,0,0,15.000000953674316,10,65,10,9.55825138092041,19327352832,1073741824,8297562112,266338304
7,1742928567358,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,36.3125,40.22239685058594,38.790225982666016,38.563194274902344,42.4671630859375,39.8391227722168,10,9.523809432983398,4.761904716491699,5,0,0,0,0,4.761904716491699,9.090909004211426,0,9.55825138092041,19327352832,1073741824,8389066752,266338304
